acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
-0.030089866,-0.016119817,-0.05187803,-0.033534057,627.8564,488.21085,-239.19,-118.37798,0.23563476,2.0,1239.0,130.90909090909093
-0.030160423,-0.015859287,-0.05245086,-0.034139615,627.91724,488.0018,-239.16046,-118.39472,0.24841368,4.0,8.0,130.90909090909093
-0.030028628,-0.014419762,-0.05138012,-0.03215047,627.1886,488.19592,-239.15692,-118.42655,0.095399775,6.0,3.0,130.90909090909093
-0.030371405,-0.016562648,-0.05103187,-0.033937175,628.04694,488.31238,-239.19554,-118.36076,0.27565062,8.0,5.5,130.90909090909093
-0.031176025,-0.017073581,-0.052191857,-0.034049593,627.5016,487.35175,-239.1625,-118.38043,0.16112731,10.0,3.0,130.90909090909093
-0.030521598,-0.016277391,-0.05219707,-0.032647554,626.6011,486.9112,-239.1672,-118.41354,-0.027980346,12.0,0.5,130.90909090909093
-0.030165922,-0.01743503,-0.050527576,-0.034371085,628.609,488.76794,-239.19232,-118.38358,0.3936859,14.0,0.0,130.90909090909093
-0.031235574,-0.01601781,-0.050679937,-0.03322838,627.782,488.97647,-239.17345,-118.375465,0.22001037,16.0,0.0,130.90909090909093
-0.030598301,-0.013655634,-0.05111609,-0.031624373,627.40216,487.1336,-239.17621,-118.40648,0.14024779,18.0,0.5,130.90909090909093
-0.02945772,-0.015526902,-0.051223733,-0.033375353,627.8224,488.64987,-239.14409,-118.41131,0.22849548,20.0,0.0,130.90909090909093
-0.029807674,-0.015863504,-0.052125122,-0.033611838,627.4912,488.57812,-239.14499,-118.394485,0.15894836,22.0,0.0,130.90909090909093
-0.030681144,-0.016123552,-0.051693402,-0.033073872,627.5357,487.58466,-239.16484,-118.39053,0.16829222,24.0,0.5,130.90909090909093
-0.030754983,-0.01743847,-0.05150244,-0.033793215,627.72943,487.65005,-239.17972,-118.4172,0.2089746,26.0,0.0,130.90909090909093
-0.031116243,-0.016391132,-0.051997136,-0.033623468,627.92676,488.33316,-239.17679,-118.37667,0.2504132,28.0,0.0,130.90909090909093
-0.030479487,-0.014541122,-0.051743474,-0.0320558,627.22424,487.9826,-239.17603,-118.38333,0.10288513,30.0,0.0,130.90909090909093
-0.030658793,-0.016625674,-0.050661318,-0.03373963,628.3902,488.618,-239.13304,-118.38789,0.34773558,,,130.90909090909093
-0.03091674,-0.016426682,-0.05058725,-0.03397365,627.7802,487.42108,-239.16913,-118.38735,0.21963866,,,130.90909090909093
-0.0301223,-0.015242053,-0.051931012,-0.032354582,627.0411,486.89594,-239.16492,-118.42846,0.06442016,,,130.90909090909093
-0.029744817,-0.016237875,-0.052069902,-0.0341599,628.45935,488.77753,-239.15816,-118.3708,0.3622577,,,130.90909090909093
-0.030224485,-0.017103557,-0.052026056,-0.033568382,627.99335,488.3136,-239.14893,-118.41914,0.26439697,,,130.90909090909093
