acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
-0.0035806138,0.0033220928,-0.02447648,-0.016350467,615.5722,465.27905,-298.45554,-168.37015,0.027236938,2.0,1279.5,135.0
-0.0039924937,0.0037663728,-0.0244704,-0.015720928,614.5596,464.5756,-298.46848,-168.38084,-0.18541625,4.0,8.0,135.0
-0.0032367967,0.00077340804,-0.024059,-0.017777402,615.4678,465.49295,-298.48685,-168.36125,0.005306396,6.0,3.5,135.0
-0.0026323101,0.00012698541,-0.023478344,-0.017750466,615.14453,465.19955,-298.3819,-168.35072,-0.06257446,8.0,6.0,135.0
-0.0030595355,0.0027875695,-0.023358034,-0.016122421,615.41797,465.04324,-298.39648,-168.34966,-0.005152588,10.0,2.0,135.0
-0.004050438,0.0024891754,-0.023743683,-0.016076231,616.0827,465.73776,-298.4434,-168.31914,0.13444152,12.0,0.5,135.0
-0.0043834704,0.0024150745,-0.023954691,-0.015693165,614.94116,465.0451,-298.4776,-168.38187,-0.10528198,14.0,0.0,135.0
-0.003550323,0.0026932312,-0.024494663,-0.01538237,613.8775,464.38635,-298.48398,-168.4237,-0.3286505,16.0,0.0,135.0
-0.0019538621,0.0017547514,-0.024326509,-0.018103873,616.2906,465.77185,-298.42398,-168.31876,0.17809753,18.0,0.5,135.0
-0.0020401585,0.003070215,-0.023206683,-0.017058108,615.43115,465.37003,-298.46036,-168.32214,-0.002384033,20.0,0.0,135.0
-0.0037897744,0.0036102228,-0.023113564,-0.015221948,614.98126,465.01816,-298.4359,-168.36136,-0.09686096,22.0,0.5,135.0
-0.0033473906,0.0009904077,-0.025095318,-0.01722038,615.92816,465.7463,-298.43518,-168.35606,0.10198791,24.0,0.0,135.0
-0.003160491,0.0016228587,-0.025536172,-0.017268201,615.00354,465.22607,-298.4262,-168.35832,-0.092182614,26.0,0.0,135.0
-0.002719941,0.0034545981,-0.023149366,-0.016535724,615.3441,465.39297,-298.40234,-168.34949,-0.02066162,28.0,0.0,135.0
-0.0031901447,0.0019063317,-0.02210773,-0.016638156,615.7715,465.7799,-298.3872,-168.33102,0.069085695,30.0,0.0,135.0
-0.0038019211,0.0019178793,-0.023796426,-0.01622473,614.5099,464.88962,-298.4493,-168.35765,-0.1958496,,,135.0
-0.002531578,0.003201098,-0.024970742,-0.015507296,614.88367,465.00513,-298.458,-168.34424,-0.11735595,,,135.0
-0.0023261604,0.0018775915,-0.024143042,-0.017189588,615.9169,465.71558,-298.37994,-168.34,0.0996167,,,135.0
-0.0030415377,0.0021952696,-0.023757886,-0.016536724,614.99915,465.15692,-298.4436,-168.3552,-0.093105465,,,135.0
-0.004384924,0.0047413073,-0.023306439,-0.014685325,615.8284,465.69263,-298.4456,-168.35898,0.08104431,,,135.0
-0.0021404682,0.0027490368,-0.023535963,-0.01708667,616.2891,465.93076,-298.38205,-168.32735,0.17778991,,,135.0
-0.0011804507,0.0022554274,-0.023734607,-0.017754214,614.957,465.2358,-298.43277,-168.34267,-0.101962276,,,135.0
-0.0032650388,0.002747471,-0.023753548,-0.016405592,615.76465,465.56253,-298.4821,-168.36723,0.06765015,,,135.0
-0.0038564298,0.0021812855,-0.02443357,-0.016993819,615.0929,465.48233,-298.38138,-168.33449,-0.07341797,,,135.0
-0.0038403603,0.0026789706,-0.02479524,-0.016478196,615.53796,465.61273,-298.43387,-168.36969,0.020046387,,,135.0
-0.002222344,0.002794426,-0.024194736,-0.015601029,615.8615,465.558,-298.45267,-168.36095,0.08799133,,,135.0
-0.002148063,0.0011446916,-0.022044614,-0.016779114,615.4306,465.41556,-298.41687,-168.35356,-0.0024993895,,,135.0
-0.0038257553,0.0027238643,-0.02316952,-0.016360467,615.28394,465.34564,-298.42993,-168.35214,-0.033299558,,,135.0
