acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
-0.0317489,-0.019310607,-0.05256798,-0.031064665,556.964,410.9192,-240.40236,-138.28323,-0.111306146,2.0,1347.5,160.0
-0.03170388,-0.020949407,-0.052929897,-0.033866026,556.53357,411.56815,-240.34976,-138.24667,-0.20169432,4.0,11.0,160.0
-0.031497575,-0.020079669,-0.053254906,-0.03123155,556.792,410.7421,-240.4727,-138.28654,-0.14742553,6.0,5.0,160.0
-0.03179513,-0.018964525,-0.052987806,-0.031229213,557.2475,412.29855,-240.4002,-138.22044,-0.05176941,8.0,2.0,160.0
-0.03135525,-0.020085555,-0.05310077,-0.032879367,556.7476,411.31564,-240.35695,-138.23242,-0.15674376,10.0,0.0,160.0
-0.032074336,-0.019906754,-0.052748054,-0.031403404,556.475,410.0212,-240.48714,-138.28235,-0.21399902,12.0,0.0,160.0
-0.03208485,-0.018337676,-0.05242638,-0.030372746,556.7783,409.62488,-240.39424,-138.2817,-0.15029663,14.0,0.0,160.0
-0.030594826,-0.020364609,-0.05270858,-0.031786613,556.82983,411.5747,-240.33987,-138.21262,-0.13947876,16.0,0.5,160.0
-0.031339925,-0.019862337,-0.052264042,-0.032585226,556.35333,411.66995,-240.42615,-138.2828,-0.23954406,18.0,0.0,160.0
-0.03056221,-0.020118477,-0.053144217,-0.031163776,557.0675,411.92645,-240.45032,-138.24503,-0.08956787,20.0,0.5,160.0
-0.032288007,-0.020016117,-0.052764423,-0.0325504,557.05286,410.73904,-240.34758,-138.2344,-0.09264404,22.0,0.0,160.0
-0.0325435,-0.020260789,-0.053215943,-0.031061191,556.75165,410.6978,-240.42255,-138.23994,-0.15589783,24.0,0.0,160.0
-0.030750932,-0.018590424,-0.052547798,-0.03092794,557.1659,411.4955,-240.438,-138.26866,-0.06890625,26.0,0.0,160.0
-0.031135628,-0.01928891,-0.05196652,-0.033378508,557.5741,411.16904,-240.35378,-138.23936,0.016816406,28.0,0.0,160.0
-0.03182383,-0.019748723,-0.053396422,-0.032100685,556.41486,410.73645,-240.44476,-138.24654,-0.22662413,30.0,0.0,160.0
-0.032200158,-0.017768575,-0.05317935,-0.030610725,556.4544,410.57864,-240.47865,-138.3262,-0.21831848,,,160.0
-0.030218879,-0.020488303,-0.052888922,-0.032558378,557.7902,411.63385,-240.4065,-138.18686,0.062202755,,,160.0
-0.031772602,-0.019178867,-0.051972043,-0.031891536,556.54205,410.25903,-240.44397,-138.26962,-0.19991271,,,160.0
-0.032213274,-0.020057226,-0.052776396,-0.031155132,556.94366,410.68228,-240.44093,-138.2564,-0.11557434,,,160.0
-0.031495698,-0.020257803,-0.053100888,-0.03176283,557.4518,412.542,-240.37459,-138.23668,-0.008869628,,,160.0
-0.032498512,-0.019749079,-0.052776016,-0.031446554,556.6493,410.27704,-240.4318,-138.24352,-0.17739257,,,160.0
-0.030628087,-0.019837433,-0.052246246,-0.030621536,556.72345,411.51163,-240.39278,-138.26808,-0.16181946,,,160.0
-0.031311024,-0.020849718,-0.051448118,-0.03218689,557.8472,412.13968,-240.42833,-138.1929,0.074174196,,,160.0
-0.03136417,-0.019903768,-0.051910724,-0.03220451,556.73956,410.5409,-240.4329,-138.24556,-0.15843566,,,160.0
-0.032225758,-0.019361667,-0.05260492,-0.031114822,556.27954,410.2208,-240.44646,-138.30771,-0.2550403,,,160.0
-0.031094879,-0.020724058,-0.052598905,-0.032428287,557.7118,411.4239,-240.46738,-138.20372,0.04573242,,,160.0
-0.03192305,-0.019823445,-0.05270288,-0.031013403,556.47595,411.04843,-240.42918,-138.27103,-0.21379393,,,160.0
-0.031723388,-0.019641154,-0.052249536,-0.03183904,556.08905,409.95847,-240.39508,-138.3153,-0.29504332,,,160.0
-0.03136419,-0.020513784,-0.052464973,-0.03278212,556.84766,410.86337,-240.4373,-138.28703,-0.13573608,,,160.0
-0.031712506,-0.019835778,-0.05296592,-0.03198074,556.6718,411.35178,-240.49751,-138.274,-0.17266296,,,160.0
-0.031065082,-0.019028172,-0.05187779,-0.032086555,556.7744,411.9059,-240.41988,-138.26372,-0.15111694,,,160.0
-0.030683855,-0.021659687,-0.05268706,-0.032469634,556.5044,409.93292,-240.42651,-138.28874,-0.20782104,,,160.0
-0.032360513,-0.018609447,-0.05204342,-0.032289494,556.8532,410.0345,-240.4731,-138.26096,-0.1345697,,,160.0
-0.03134951,-0.019225722,-0.052715097,-0.030562915,556.1019,409.8128,-240.41081,-138.30501,-0.29233885,,,160.0
-0.031920347,-0.0196103,-0.05269206,-0.03275455,555.864,411.16013,-240.4506,-138.32108,-0.342301,,,160.0
-0.03127992,-0.019753143,-0.052606117,-0.031211058,556.7058,410.1788,-240.47276,-138.28134,-0.16552368,,,160.0
-0.032300074,-0.018374851,-0.052978516,-0.032136623,556.5694,411.51212,-240.43814,-138.24045,-0.19417052,,,160.0
-0.0323057,-0.019536996,-0.052131597,-0.033346165,555.8774,410.13928,-240.47978,-138.33891,-0.33949402,,,160.0
-0.03061261,-0.020149367,-0.05321317,-0.03144604,556.55023,409.59985,-240.4866,-138.26378,-0.19819519,,,160.0
-0.032944426,-0.01817883,-0.052563,-0.031784303,556.49695,409.29666,-240.38124,-138.2625,-0.20938475,,,160.0
-0.0313476,-0.021341112,-0.053073168,-0.032363333,555.85535,411.37558,-240.41078,-138.34442,-0.34412107,,,160.0
-0.032198664,-0.019874787,-0.052935824,-0.032468207,556.6447,412.01636,-240.46086,-138.26561,-0.17835388,,,160.0
-0.031540714,-0.01944899,-0.052397873,-0.030188592,557.029,410.1177,-240.4011,-138.23029,-0.09765564,,,160.0
-0.03251892,-0.019385356,-0.052063152,-0.031844568,555.4311,409.28955,-240.36958,-138.32314,-0.4332147,,,160.0
-0.03343729,-0.020704426,-0.052021455,-0.03187363,556.70514,410.48187,-240.48836,-138.2956,-0.16566467,,,160.0
-0.030633265,-0.01943326,-0.053362794,-0.0306217,557.38043,410.94138,-240.36377,-138.17871,-0.02385315,,,160.0
-0.03230428,-0.020515503,-0.05343089,-0.03285301,555.485,410.43756,-240.39119,-138.33699,-0.42189696,,,160.0
-0.03203799,-0.020551812,-0.053988438,-0.030837994,556.7421,410.63464,-240.43855,-138.27159,-0.15789734,,,160.0
-0.032086734,-0.019016072,-0.05263001,-0.03179163,556.3063,410.02634,-240.4158,-138.29193,-0.24942626,,,160.0
-0.030764839,-0.021161841,-0.052850306,-0.03215617,555.1329,409.6966,-240.39107,-138.3563,-0.49584043,,,160.0
-0.03192005,-0.019427704,-0.052321248,-0.031317804,556.6575,410.88068,-240.469,-138.2684,-0.17567505,,,160.0
-0.03272095,-0.019276943,-0.052363425,-0.03129223,556.899,412.4631,-240.38611,-138.25974,-0.12495666,,,160.0
-0.030648744,-0.020027813,-0.05259959,-0.032222908,556.2974,410.5049,-240.40842,-138.25981,-0.25128478,,,160.0
-0.030302254,-0.019707272,-0.05190969,-0.03260641,556.40924,411.29056,-240.4234,-138.29771,-0.22780333,,,160.0
-0.03201674,-0.01822253,-0.053701073,-0.030820193,557.39355,410.9444,-240.42023,-138.2228,-0.021097412,,,160.0
-0.032464486,-0.020845182,-0.052619558,-0.03215507,555.88116,410.35696,-240.34877,-138.25664,-0.33869934,,,160.0
-0.0319923,-0.019668695,-0.052689552,-0.031980563,556.8952,410.917,-240.43683,-138.29147,-0.12575133,,,160.0
-0.031259738,-0.01871873,-0.052202217,-0.030671634,557.79987,412.06854,-240.41965,-138.19409,0.0642279,,,160.0
-0.031011494,-0.0191285,-0.052125,-0.031794943,556.5539,410.12094,-240.38655,-138.26501,-0.19742614,,,160.0
-0.032594774,-0.020339308,-0.05341585,-0.031498548,556.4302,411.1262,-240.46233,-138.26306,-0.22340697,,,160.0
-0.031330794,-0.01976035,-0.05227626,-0.032248605,557.1175,410.2257,-240.4242,-138.22684,-0.079070434,,,160.0
-0.03079531,-0.020543907,-0.05286165,-0.03267796,557.4313,410.38348,-240.38034,-138.19456,-0.013176269,,,160.0
-0.03178815,-0.019095574,-0.052242648,-0.03153436,556.7792,412.2218,-240.47269,-138.26675,-0.15011719,,,160.0
-0.031957168,-0.01865987,-0.05272462,-0.031281848,557.3748,410.97934,-240.39555,-138.23628,-0.025032347,,,160.0
-0.031127216,-0.021382514,-0.052496236,-0.033441138,557.84076,410.6741,-240.41,-138.16884,0.07281555,,,160.0
-0.03253932,-0.018800605,-0.051658403,-0.03133455,556.32416,411.27618,-240.41275,-138.27785,-0.24567077,,,160.0
-0.03251298,-0.019008461,-0.05353771,-0.030730324,556.87354,411.42136,-240.41278,-138.26285,-0.1303015,,,160.0
-0.029772537,-0.020214451,-0.0522924,-0.031750206,557.3274,410.54352,-240.38872,-138.2235,-0.034991454,,,160.0
-0.030525226,-0.020321235,-0.052589945,-0.03285574,556.71454,411.02335,-240.44476,-138.2822,-0.16369079,,,160.0
-0.032627095,-0.01975649,-0.052211117,-0.0319776,556.08594,409.41354,-240.43448,-138.31114,-0.295697,,,160.0
-0.032747827,-0.022172885,-0.053217888,-0.031374156,557.57495,410.91956,-240.44254,-138.19043,0.01699585,,,160.0
-0.031200228,-0.019726506,-0.053415217,-0.03188517,556.74554,411.05423,-240.4601,-138.2792,-0.15717956,,,160.0
-0.031538926,-0.0180573,-0.051907934,-0.031172343,556.90906,411.22473,-240.41199,-138.28235,-0.12284179,,,160.0
-0.031292077,-0.020945823,-0.052428126,-0.033771858,557.5831,412.4049,-240.46278,-138.27232,0.018713377,,,160.0
-0.031632803,-0.019844053,-0.052283324,-0.031275757,556.8886,410.58838,-240.46802,-138.2575,-0.12713562,,,160.0
-0.030528083,-0.01880439,-0.05282313,-0.029850366,556.23254,410.60104,-240.43394,-138.33902,-0.26490965,,,160.0
-0.031735588,-0.019438678,-0.05194373,-0.032838903,556.9942,410.32,-240.45004,-138.29276,-0.104961544,,,160.0
-0.033193413,-0.019899359,-0.052348334,-0.031482194,556.62854,410.83725,-240.48569,-138.29846,-0.18175048,,,160.0
-0.030386008,-0.019305037,-0.05338384,-0.03147523,556.6723,412.11975,-240.43289,-138.28687,-0.17256042,,,160.0
-0.03125245,-0.020973958,-0.05280625,-0.032114685,556.45135,410.5704,-240.45079,-138.33423,-0.21895935,,,160.0
-0.031117685,-0.01875087,-0.05282682,-0.031453732,557.0558,411.00565,-240.45064,-138.25374,-0.092028804,,,160.0
-0.03237603,-0.019333726,-0.052383322,-0.031697553,556.32855,411.0527,-240.39883,-138.30115,-0.24474792,,,160.0
-0.030491194,-0.02125972,-0.05266029,-0.031713523,555.9156,410.1548,-240.48192,-138.3622,-0.33147034,,,160.0
-0.031986885,-0.019777438,-0.051832985,-0.03138828,556.7341,410.69592,-240.45815,-138.28142,-0.15958923,,,160.0
-0.033141393,-0.018629199,-0.051933482,-0.030576581,556.86694,410.11914,-240.4588,-138.2041,-0.1316858,,,160.0
-0.03188736,-0.019627636,-0.053038657,-0.032715604,555.7999,411.3674,-240.42699,-138.34995,-0.35575926,,,160.0
-0.031998407,-0.020975592,-0.05389799,-0.03258382,556.717,410.01733,-240.4721,-138.29579,-0.1631781,,,160.0
-0.030971872,-0.01837719,-0.052200858,-0.030569347,557.0357,411.58524,-240.4305,-138.23366,-0.09624572,,,160.0
-0.03220056,-0.019934796,-0.052243542,-0.032374393,555.42804,411.5324,-240.46683,-138.38896,-0.43385556,,,160.0
-0.030845469,-0.019794185,-0.053090226,-0.03144018,557.1723,411.22705,-240.45822,-138.24248,-0.06756042,,,160.0
-0.03132266,-0.018986905,-0.05252858,-0.031248845,557.0262,410.99414,-240.39417,-138.22824,-0.09824523,,,160.0
-0.032703646,-0.020355077,-0.052421544,-0.032459393,555.472,410.33362,-240.4441,-138.38928,-0.42462707,,,160.0
-0.0331291,-0.018899212,-0.052722543,-0.031681422,556.98346,410.77747,-240.48854,-138.28462,-0.1072174,,,160.0
-0.030911667,-0.019055154,-0.05280339,-0.030743,556.5969,411.50888,-240.38672,-138.24927,-0.18838988,,,160.0
-0.029229771,-0.019576378,-0.05126801,-0.032137625,555.88165,410.05753,-240.4348,-138.30508,-0.3385968,,,160.0
-0.032302205,-0.019541597,-0.05141453,-0.031727813,556.712,411.19183,-240.42757,-138.26877,-0.16422912,,,160.0
-0.031406607,-0.019820621,-0.053177167,-0.031648833,556.53143,411.34802,-240.40375,-138.24706,-0.20214294,,,160.0
-0.031638976,-0.02157467,-0.05165998,-0.03247506,555.7428,410.71063,-240.38887,-138.31038,-0.36775634,,,160.0
-0.031289574,-0.019344399,-0.052397173,-0.031185351,556.36414,410.43655,-240.50403,-138.28362,-0.23727538,,,160.0
-0.03281157,-0.01790757,-0.05139446,-0.03021915,557.61633,411.294,-240.38533,-138.2144,0.025686035,,,160.0
-0.02996107,-0.020219663,-0.052381624,-0.032063764,555.6152,409.79218,-240.44724,-138.31047,-0.39455748,,,160.0
-0.031239044,-0.019757617,-0.051870756,-0.032147508,556.8433,410.4454,-240.4659,-138.25098,-0.1366461,,,160.0
-0.03213689,-0.019632865,-0.051716603,-0.031334504,557.05383,411.3226,-240.40329,-138.27966,-0.09243896,,,160.0
-0.031958304,-0.021267349,-0.053190194,-0.03290262,556.14764,411.2238,-240.37425,-138.2859,-0.28273863,,,160.0
-0.032635715,-0.019665875,-0.05290379,-0.03220546,556.75726,410.83984,-240.49564,-138.2772,-0.15471862,,,160.0
-0.03140175,-0.019186003,-0.05329908,-0.029897971,556.2658,410.22906,-240.42621,-138.23398,-0.2579242,,,160.0
-0.031708095,-0.020448241,-0.05223929,-0.03192357,556.33026,411.7928,-240.3928,-138.2363,-0.24438903,,,160.0
-0.03200491,-0.019066399,-0.05205268,-0.030984635,556.54675,410.55676,-240.46512,-138.2868,-0.19892578,,,160.0
-0.03076125,-0.018636394,-0.053198,-0.030381108,556.792,409.90085,-240.39946,-138.24934,-0.14742553,,,160.0
-0.031242266,-0.020916296,-0.053198393,-0.03161605,556.4122,409.77142,-240.34856,-138.2594,-0.22718811,,,160.0
-0.031985078,-0.02033381,-0.053234167,-0.03218824,556.3351,410.94827,-240.51132,-138.27516,-0.24337646,,,160.0
-0.032665927,-0.018899621,-0.05151326,-0.031176858,557.1609,412.08383,-240.41304,-138.23802,-0.06995727,,,160.0
-0.031148717,-0.020671975,-0.0540614,-0.031662982,557.2321,411.0167,-240.39508,-138.19931,-0.05499939,,,160.0
-0.03179151,-0.017609317,-0.053482674,-0.031367637,556.7755,410.84912,-240.44574,-138.24757,-0.15088622,,,160.0
-0.03137193,-0.018003179,-0.05252382,-0.030177942,557.1995,410.48325,-240.3869,-138.21228,-0.06184387,,,160.0
-0.031967342,-0.02098919,-0.05211629,-0.03246643,557.3739,411.79434,-240.39458,-138.21283,-0.02522461,,,160.0
-0.032040138,-0.020055372,-0.05112386,-0.031220583,556.73895,410.552,-240.45076,-138.26752,-0.15856384,,,160.0
-0.03155854,-0.01784874,-0.052419502,-0.030778179,556.70404,410.45724,-240.44705,-138.30128,-0.16589539,,,160.0
-0.031192334,-0.019053277,-0.052424874,-0.032149233,557.4454,411.8914,-240.42604,-138.21341,-0.010215454,,,160.0
-0.031887155,-0.020145576,-0.05297196,-0.03208761,556.64014,411.65442,-240.44647,-138.26775,-0.17931518,,,160.0
-0.03212324,-0.019289557,-0.051959973,-0.030602785,556.6644,410.69797,-240.41928,-138.29509,-0.17421386,,,160.0
-0.030613849,-0.020841353,-0.05121168,-0.03158094,557.74713,410.12888,-240.41579,-138.22795,0.053153686,,,160.0
-0.031517856,-0.019212216,-0.052670013,-0.032086443,556.65125,411.9929,-240.44527,-138.25836,-0.17698242,,,160.0
-0.03271365,-0.017942522,-0.051700886,-0.031070108,557.03406,411.73697,-240.42442,-138.3006,-0.09659179,,,160.0
-0.028644156,-0.020982683,-0.05211189,-0.03324371,557.58966,410.6484,-240.43571,-138.22604,0.020084837,,,160.0
-0.033074465,-0.020392254,-0.05129756,-0.03249634,556.5615,411.75458,-240.47983,-138.3033,-0.19582397,,,160.0
-0.030212566,-0.018174585,-0.05270032,-0.030878572,557.0388,410.06525,-240.40732,-138.26671,-0.09559204,,,160.0
-0.031402234,-0.019482939,-0.051909525,-0.03262932,557.59454,411.26938,-240.48224,-138.28429,0.02111023,,,160.0
-0.03196839,-0.020763636,-0.05133187,-0.032920502,557.11127,411.3696,-240.46582,-138.26581,-0.0803778,,,160.0
-0.032121673,-0.020217352,-0.051023863,-0.03193081,556.4921,412.42093,-240.42497,-138.28821,-0.21039733,,,160.0
-0.0323679,-0.020655144,-0.051601443,-0.032448575,557.33527,411.0237,-240.43019,-138.26128,-0.03333801,,,160.0
-0.02906176,-0.019345874,-0.052978203,-0.030689158,556.8561,411.54315,-240.4346,-138.25801,-0.13396728,,,160.0
-0.03159656,-0.018483452,-0.051712006,-0.031033363,556.222,411.29623,-240.42262,-138.29097,-0.26712707,,,160.0
-0.032124665,-0.021509651,-0.051771346,-0.032955863,556.4377,411.77515,-240.4605,-138.34177,-0.22183044,,,160.0
-0.031024357,-0.021745842,-0.051760003,-0.032269508,556.8888,412.27188,-240.43059,-138.24586,-0.12709716,,,160.0
-0.031963855,-0.019834256,-0.052760035,-0.031628877,556.9129,410.78564,-240.40207,-138.23254,-0.1220343,,,160.0
-0.031547356,-0.019678451,-0.05328282,-0.032097314,556.4427,411.50797,-240.46527,-138.30501,-0.22077942,,,160.0
-0.033450853,-0.019666847,-0.05275776,-0.03332855,557.0179,411.89636,-240.44566,-138.23428,-0.0999884,,,160.0
-0.030859107,-0.020031683,-0.05226716,-0.030605504,557.07025,411.33395,-240.39804,-138.24922,-0.08899108,,,160.0
-0.030874267,-0.020704806,-0.05138934,-0.031508002,556.1009,410.59048,-240.43033,-138.33907,-0.29255676,,,160.0
-0.031694114,-0.018902611,-0.05245577,-0.029930994,556.9281,410.92703,-240.45787,-138.23909,-0.11884277,,,160.0
-0.032617394,-0.017386511,-0.05352187,-0.029706873,556.61725,411.13864,-240.42122,-138.25584,-0.1841217,,,160.0
-0.031033743,-0.021463789,-0.05330328,-0.032416515,555.35736,409.70978,-240.46255,-138.34804,-0.4486981,,,160.0
-0.031934712,-0.021101693,-0.05338844,-0.031496137,556.852,411.35474,-240.44254,-138.25604,-0.13482605,,,160.0
-0.03211201,-0.01886483,-0.05225241,-0.029631628,556.3801,411.0717,-240.42662,-138.24629,-0.23391724,,,160.0
-0.032781,-0.01959179,-0.053355996,-0.031515814,555.54236,410.17108,-240.46231,-138.35399,-0.40984863,,,160.0
-0.031353556,-0.018646853,-0.05299657,-0.031320732,557.0688,410.14526,-240.45216,-138.29683,-0.0892987,,,160.0
-0.031782225,-0.019637968,-0.05278102,-0.031264268,556.74115,410.41016,-240.38632,-138.247,-0.15810241,,,160.0
-0.03194974,-0.02064416,-0.05232688,-0.032609753,555.2653,409.13727,-240.43526,-138.3263,-0.46802673,,,160.0
-0.03324451,-0.018684834,-0.05302596,-0.030945148,556.58514,410.71957,-240.44731,-138.32506,-0.19086364,,,160.0
-0.033288535,-0.01695071,-0.05321997,-0.030933762,557.1974,412.38498,-240.4253,-138.23952,-0.06229248,,,160.0
-0.03138763,-0.018905517,-0.051889963,-0.031989984,555.50714,410.33563,-240.37923,-138.32846,-0.41724426,,,160.0
-0.030147519,-0.018773282,-0.051761243,-0.034251224,556.9295,410.64545,-240.4577,-138.2748,-0.11854797,,,160.0
-0.03196383,-0.018887062,-0.0533793,-0.02983299,556.66504,410.84222,-240.461,-138.2584,-0.17408569,,,160.0
-0.030921638,-0.01998213,-0.05325114,-0.031242756,555.7352,410.04733,-240.38454,-138.28604,-0.3693457,,,160.0
-0.033328224,-0.019286541,-0.051986914,-0.032513708,556.79755,411.0157,-240.47847,-138.25511,-0.14625914,,,160.0
-0.030532993,-0.019060887,-0.05207311,-0.030850789,557.7663,412.4281,-240.42076,-138.24713,0.057178345,,,160.0
