A1,A2,A3,SG2,SG3,SG7,SG2-Range,SG2-Cycles,SG3-Range,SG3-Cycles,SG7-Range,SG7-Cycles
0.00026302500000000006,-5.9860500000000075e-05,0.00020973224999999967,0.0028087499999998045,-0.10021725000000004,-0.1000807499999894,2.0,1027.5,2.0,1064.5,2.0,954.0
0.0005528250000000001,0.00012493950000000008,0.0004197322499999998,-0.02659125000000273,-0.058217250000002,0.07001925000000142,4.0,11.0,4.0,5.5,4.0,6.0
2.362499999999999e-05,0.0006310395000000003,0.00015513224999999997,0.015408750000005966,0.10558274999999995,-0.12528075000000172,6.0,4.0,6.0,0.0,6.0,1.0
0.0002525250000000002,0.00022573949999999993,-0.00018716774999999984,0.1330087500000019,0.09508274999999955,0.13091925000000515,8.0,0.0,8.0,0.0,8.0,0.0
0.00035752500000000003,-5.2604999999999406e-06,-0.00019556775000000026,0.12880875000000458,0.08038275000000183,0.019619250000005195,10.0,0.0,10.0,0.0,10.0,0.0
2.5725000000000097e-05,0.0005239395000000001,-8.667750000000002e-06,0.055308750000001794,0.04258275000000111,-0.0832807499999717,12.0,0.0,12.0,0.0,12.0,0.0
0.00014752500000000013,0.00042943949999999995,-8.667750000000002e-06,-0.018191249999993886,0.08668274999999781,-0.005580749999978707,14.0,0.0,14.0,0.0,14.0,0.0
0.0005633249999999999,0.00015853950000000003,-0.00024176774999999998,0.053208750000003135,0.00898275000000126,-0.12948074999999903,16.0,0.0,16.0,0.0,16.0,0.0
0.0003932250000000001,0.0003769394999999999,-0.0003257677500000003,0.028008750000005023,-0.04561724999999939,-0.1000807499999894,18.0,0.0,18.0,0.0,18.0,0.0
9.2925e-05,0.0008074395,-0.00019556775000000026,0.038508749999998315,0.05518275000000017,-0.0832807499999717,20.0,0.0,20.0,1.0,20.0,1.0
0.000819525,1.1539500000000034e-05,-5.066774999999994e-05,-0.013991249999996569,0.0614827499999997,-0.022380749999996397,22.0,3.0,22.0,2.0,22.0,0.0
