A1,A2,A3,SG2,SG3,SG7,SG2-Range,SG2-Cycles,SG3-Range,SG3-Cycles,SG7-Range,SG7-Cycles
0.00038726099999999986,0.0002491282499999998,-0.00016167900000000008,0.10908974999999543,0.12571125000000194,-0.11254425000001334,2.0,999.5,2.0,1059.0,2.0,996.5
-2.013900000000018e-05,0.00023022824999999994,-0.000142779,0.1636897500000032,0.09001124999999988,-0.03274425000000747,4.0,17.0,4.0,5.5,4.0,5.0
8.609999999998957e-07,0.00013992824999999997,5.8821000000000134e-05,-0.0652102499999998,0.02491124999999883,-0.0831442500000037,6.0,0.0,6.0,0.0,6.0,0.0
0.00032006099999999974,0.00022182824999999974,-7.767899999999977e-05,0.060789749999997866,0.05851124999999868,-0.10204425000000583,8.0,0.0,8.0,0.0,8.0,1.0
0.0004271609999999999,0.00033942825,-0.00025197899999999983,0.1468897499999997,0.10471125000000114,0.07015574999999785,10.0,0.0,10.0,0.0,10.0,0.0
0.00015416099999999988,0.0001714282499999998,-0.000445179,0.05238974999999613,-0.006588749999998811,0.10375574999997639,12.0,0.0,12.0,0.0,12.0,0.0
0.000147861,0.0002596282499999999,-0.000298179,0.03768974999999841,0.02281125000000017,0.07855574999999249,14.0,0.0,14.0,0.0,14.0,0.0
0.0005048609999999999,0.0002470282499999999,-7.55790000000001e-05,-0.019010250000000894,0.16561125000000132,-0.04534425000002784,16.0,0.0,16.0,0.0,16.0,0.0
9.746100000000008e-05,0.0001777282499999999,5.252099999999982e-05,0.07968975,0.06691125000000042,0.019755750000001626,18.0,0.0,18.0,0.0,18.0,0.0
0.00012266099999999982,-1.1271750000000236e-05,-0.00010287899999999973,0.054489749999994785,-0.03598874999999779,0.0029557499999839365,20.0,0.0,20.0,0.5,20.0,1.0
7.856099999999978e-05,7.692824999999985e-05,-0.0002624789999999999,0.029289749999996673,0.0396112500000001,-0.14194425000002298,22.0,3.0,22.0,2.5,22.0,0.0
0.00012476099999999993,9.728249999999949e-06,-0.00013857899999999979,-0.07361025000000865,-0.002388749999997941,-0.08734425000000101,24.0,0.0,24.0,0.0,24.0,0.0
