acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
-0.04919158,-0.0315279,-0.07818255,-0.049303323,638.2542,487.56802,-174.79999,-63.803925,-0.06963684,2.0,1351.0,154.28571428571428
-0.04784284,-0.030531771,-0.07898802,-0.04683005,636.5896,486.40555,-174.78299,-63.832848,-0.4192053,4.0,10.0,154.28571428571428
-0.047977686,-0.030704113,-0.07836839,-0.04841913,637.8193,487.324,-174.79683,-63.829216,-0.1609735,6.0,5.0,154.28571428571428
-0.04882392,-0.03166256,-0.07798973,-0.04845478,637.8298,487.2615,-174.77121,-63.80824,-0.15876892,8.0,2.5,154.28571428571428
-0.049930975,-0.031369884,-0.07838708,-0.04903927,636.70044,486.7064,-174.75943,-63.848488,-0.39592895,10.0,0.0,154.28571428571428
-0.05005714,-0.032450844,-0.07806628,-0.04913443,636.7733,486.52954,-174.79659,-63.847805,-0.38062498,12.0,0.0,154.28571428571428
-0.04956807,-0.031962216,-0.0781963,-0.048706036,637.17096,486.5188,-174.8126,-63.82924,-0.29711974,14.0,0.0,154.28571428571428
-0.049356773,-0.029504973,-0.076944575,-0.04753148,637.54694,487.2697,-174.73697,-63.786392,-0.21816467,16.0,0.5,154.28571428571428
-0.047796607,-0.031492908,-0.07775163,-0.048139945,637.2555,486.97665,-174.81169,-63.81274,-0.27936766,18.0,0.0,154.28571428571428
-0.048434485,-0.03161874,-0.07765019,-0.049688842,637.5662,486.941,-174.79712,-63.812794,-0.21411437,20.0,0.5,154.28571428571428
-0.04903373,-0.031512745,-0.078143544,-0.04748422,638.1618,487.49597,-174.77527,-63.74781,-0.08904236,22.0,0.0,154.28571428571428
-0.048487004,-0.030461004,-0.07811075,-0.048989214,636.82764,486.33426,-174.80484,-63.83645,-0.36921751,24.0,0.0,154.28571428571428
-0.049453285,-0.031478822,-0.07853047,-0.049821723,637.24976,486.74292,-174.75925,-63.848526,-0.2805725,26.0,0.0,154.28571428571428
-0.04881,-0.030373968,-0.078359455,-0.04852129,638.2527,488.1384,-174.76839,-63.766685,-0.06995727,28.0,0.0,154.28571428571428
-0.04873807,-0.032421835,-0.07817151,-0.049020834,637.14935,486.9202,-174.79611,-63.81414,-0.30165708,30.0,0.0,154.28571428571428
-0.049167458,-0.032142967,-0.07812793,-0.048239004,637.76056,487.3124,-174.8146,-63.80347,-0.17330383,,,154.28571428571428
-0.050033614,-0.029985035,-0.07824453,-0.04743939,637.97577,487.51822,-174.82526,-63.772186,-0.12810974,,,154.28571428571428
-0.049771234,-0.031257194,-0.07868632,-0.049097486,637.2091,486.74792,-174.7692,-63.79571,-0.28910887,,,154.28571428571428
-0.04914799,-0.03260165,-0.07846272,-0.049454506,637.5657,486.94827,-174.76024,-63.807083,-0.21422973,,,154.28571428571428
-0.04849287,-0.031275563,-0.07888566,-0.04842726,637.725,487.41486,-174.79851,-63.780834,-0.18077636,,,154.28571428571428
-0.04767095,-0.030817822,-0.07783161,-0.048243072,637.42114,487.10242,-174.78294,-63.793083,-0.2445813,,,154.28571428571428
-0.049392957,-0.031251967,-0.078415655,-0.048999455,636.968,486.62704,-174.76898,-63.836613,-0.33973753,,,154.28571428571428
-0.04975042,-0.0309541,-0.07892797,-0.04847871,637.8446,487.07468,-174.81525,-63.843037,-0.1556543,,,154.28571428571428
-0.048873086,-0.032005176,-0.078302465,-0.048940185,637.7729,486.78583,-174.7713,-63.78839,-0.17071472,,,154.28571428571428
-0.04943068,-0.031741515,-0.07877069,-0.048992228,637.2814,487.02417,-174.82527,-63.81467,-0.27393308,,,154.28571428571428
-0.049545914,-0.029606977,-0.078143306,-0.047121566,637.2011,487.13123,-174.78122,-63.81276,-0.29078797,,,154.28571428571428
-0.04910657,-0.030302571,-0.07812264,-0.048756562,637.78674,487.31787,-174.774,-63.81327,-0.16780517,,,154.28571428571428
