acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
-0.032073833,-0.017063193,-0.027268048,-0.018845154,480.79892,251.77342,-190.34488,-98.89706,-0.38034302,2.0,1273.5,139.35483870967744
-0.030657798,-0.017974107,-0.027215026,-0.018679306,481.79477,253.31638,-190.29851,-98.90925,-0.1712146,4.0,6.5,139.35483870967744
-0.031206109,-0.016858451,-0.026914174,-0.018261874,481.55844,253.36754,-190.27914,-98.86717,-0.2208435,6.0,4.5,139.35483870967744
-0.030887382,-0.017164098,-0.027555106,-0.0188401,480.49966,251.94159,-190.30061,-98.90465,-0.44318664,8.0,3.0,139.35483870967744
-0.030538261,-0.016965233,-0.02507068,-0.01750664,481.7591,253.43477,-190.27649,-98.88109,-0.17870635,10.0,1.0,139.35483870967744
-0.031921063,-0.01585122,-0.026963409,-0.01902402,481.54523,252.90726,-190.29843,-98.88707,-0.22361846,12.0,0.0,139.35483870967744
-0.030600566,-0.017366529,-0.02659981,-0.017584335,480.92654,253.16357,-190.29439,-98.887024,-0.35354185,14.0,0.0,139.35483870967744
-0.03071211,-0.017833635,-0.026478942,-0.01915782,480.91312,252.43073,-190.3256,-98.918655,-0.3563617,16.0,0.0,139.35483870967744
-0.030751405,-0.017578583,-0.026876288,-0.017546225,480.59973,251.83151,-190.274,-98.90112,-0.42217255,18.0,0.5,139.35483870967744
-0.03070229,-0.0170703,-0.025950361,-0.018140057,481.50525,252.80031,-190.30363,-98.880875,-0.23201385,20.0,0.5,139.35483870967744
-0.031178934,-0.017814962,-0.028362328,-0.019308582,480.4813,252.00562,-190.38675,-98.8744,-0.44704467,22.0,0.0,139.35483870967744
-0.031049002,-0.01609836,-0.026366659,-0.016792879,481.62436,252.73956,-190.30263,-98.92024,-0.20700073,24.0,0.0,139.35483870967744
-0.028750202,-0.015822545,-0.026967498,-0.02025645,481.51846,252.8915,-190.2872,-98.91094,-0.22923888,26.0,0.0,139.35483870967744
-0.03009735,-0.018237537,-0.027636575,-0.01821473,480.67624,252.30894,-190.33093,-98.90156,-0.40610594,28.0,0.0,139.35483870967744
-0.03161976,-0.01542697,-0.02516755,-0.017424988,481.57584,253.22205,-190.33868,-98.93594,-0.21719055,30.0,0.0,139.35483870967744
-0.030529037,-0.018284127,-0.028090157,-0.018667065,481.8191,253.34927,-190.27168,-98.90453,-0.16610686,,,139.35483870967744
-0.03188689,-0.018269006,-0.025700435,-0.018257312,480.68256,252.2565,-190.32364,-98.9071,-0.40477934,,,139.35483870967744
-0.03023867,-0.01537924,-0.027215322,-0.018226737,481.72665,252.73999,-190.32419,-98.91869,-0.18551879,,,139.35483870967744
-0.02961387,-0.017360445,-0.026399937,-0.017763523,481.76245,253.04208,-190.23962,-98.91029,-0.1780014,,,139.35483870967744
-0.03262615,-0.017391633,-0.026152384,-0.020396283,481.0145,252.8678,-190.37245,-98.911064,-0.335072,,,139.35483870967744
-0.03137233,-0.01766813,-0.027642353,-0.017667796,481.66602,252.67313,-190.32912,-98.94547,-0.19825286,,,139.35483870967744
-0.030328536,-0.017311115,-0.024418535,-0.017892525,481.85165,252.97179,-190.29555,-98.92394,-0.1592688,,,139.35483870967744
-0.02927029,-0.017030722,-0.026973067,-0.019329647,481.1201,252.30257,-190.37134,-98.931305,-0.31289795,,,139.35483870967744
-0.032211605,-0.015863894,-0.025845682,-0.017113522,480.9595,252.42493,-190.38985,-98.921196,-0.34662047,,,139.35483870967744
-0.030586744,-0.016943116,-0.026238834,-0.018782338,481.65585,253.13605,-190.3043,-98.91125,-0.20038696,,,139.35483870967744
