Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
250.00252,0.41845068,0.34346738,0.30448472,0.24611457,0.42549223,0.366771,-0.40449417,1.2538956,8.35867,8.219596,8.890067,8.70555,2.0,980.0,2.0,981.5,2.0,908.5,2.0,987.0,64.78005540166205,64.78005540166205
250.005,0.21724181,0.16931121,0.13878421,0.09224991,0.27331787,0.23150596,-0.57526654,1.1473737,8.358946,8.226871,8.892058,8.696774,4.0,11.0,4.0,3.5,4.0,8.0,4.0,4.0,64.78005540166205,64.78005540166205
250.0075,-0.07357979,-0.11305572,-0.10976686,-0.13939224,-0.036100157,-0.035643537,-0.87285095,0.8616245,8.364827,8.233834,8.892532,8.689217,6.0,0.0,6.0,6.0,6.0,2.0,6.0,0.0,64.78005540166205,64.78005540166205
250.01001,-0.27478707,-0.32778853,-0.28223076,-0.30509377,-0.30324966,-0.23685241,-1.0588408,0.63674515,8.363978,8.237524,8.892791,8.685481,8.0,2.0,8.0,7.0,8.0,6.0,8.0,2.5,64.78005540166205,64.78005540166205
250.01251,-0.2629518,-0.34131408,-0.27715826,-0.31185654,-0.35397443,-0.24361518,-1.0385509,0.6198374,8.366935,8.238487,8.895431,8.691518,10.0,6.0,10.0,1.5,10.0,0.0,10.0,5.5,64.78005540166205,64.78005540166205
250.01501,-0.12599488,-0.21619399,-0.17909047,-0.21886161,-0.25252807,-0.13371253,-0.92526764,0.71283233,8.375957,8.239441,8.901567,8.705072,12.0,0.0,12.0,0.5,12.0,1.0,12.0,0.0,64.78005540166205,64.78005540166205
250.01752,0.049850006,-0.038657226,-0.057351377,-0.086977154,-0.049628906,0.043824233,-0.7663289,0.8599342,8.375342,8.237773,8.908374,8.7173395,14.0,1.0,14.0,0.0,14.0,0.0,14.0,1.0,64.78005540166205,64.78005540166205
250.02,0.18342635,0.09829971,0.040716417,0.014472427,0.1431253,0.18416336,-0.6124658,0.9901284,8.378749,8.238146,8.907673,8.723376,16.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,64.78005540166205,64.78005540166205
250.0225,0.18342635,0.11351715,0.054242764,0.02292549,0.17863266,0.18923584,-0.59048396,1.0256357,8.382451,8.240011,8.903671,8.725541,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,64.78005540166205,64.78005540166205
250.02501,0.038014755,0.00023071289,-0.05904207,-0.08190467,0.050131988,0.05396919,-0.7342021,0.90220433,8.375097,8.2423115,8.906775,8.726282,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,64.78005540166205,64.78005540166205
250.02751,-0.12599488,-0.15701614,-0.23488775,-0.23238875,-0.16629593,-0.1641474,-0.9472462,0.67732495,8.369123,8.248581,8.903022,8.723123,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,64.78005540166205,64.78005540166205
250.03001,-0.24942467,-0.2939731,-0.35662684,-0.32707396,-0.30663344,-0.3095574,-1.067297,0.55558705,8.371098,8.257959,8.8931,8.716638,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,64.78005540166205,64.78005540166205
250.03252,-0.23082663,-0.314263,-0.30759314,-0.30678403,-0.2897241,-0.29603025,-1.0368621,0.565732,8.384988,8.269048,8.888005,8.708076,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,64.78005540166205,64.78005540166205
250.03502,-0.07188789,-0.1925235,-0.12329361,-0.16475463,-0.13586105,-0.12694816,-0.86947036,0.6688719,8.408227,8.283297,8.889882,8.699416,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,64.78005540166205,64.78005540166205
250.0375,0.18004417,0.049263608,0.13878421,0.08210494,0.16341522,0.1723265,-0.59386456,0.9580016,8.4229965,8.292239,8.893698,8.69497,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,64.78005540166205,64.78005540166205
250.04001,0.3626534,0.23694533,0.30279383,0.26471418,0.428876,0.40397024,-0.42140028,1.2200803,8.431702,8.297835,8.891996,8.694355,,,,,,,,,64.78005540166205,64.78005540166205
250.04251,0.3913964,0.28428954,0.29772136,0.3103665,0.50327134,0.44793066,-0.4129472,1.2826402,8.432284,8.305048,8.888242,8.7004795,,,,,,,,,64.78005540166205,64.78005540166205
250.04501,0.30347395,0.22341979,0.19796287,0.261332,0.4068942,0.35155356,-0.5059437,1.1896453,8.425053,8.305763,8.892027,8.711391,,,,,,,,,64.78005540166205,64.78005540166205
250.04752,0.17666198,0.118589625,0.061006334,0.14804718,0.20061447,0.15880096,-0.6581149,1.0188713,8.416563,8.298561,8.900351,8.721396,,,,,,,,,64.78005540166205,64.78005540166205
250.05002,0.02956009,0.0036112976,-0.074259505,0.024617385,0.012932739,-0.0069005582,-0.7781657,0.8683889,8.408851,8.28397,8.901763,8.730758,,,,,,,,,64.78005540166205,64.78005540166205
250.0525,0.016034545,-0.0014611816,-0.07764129,0.0077080536,-0.017502137,-0.02549858,-0.79845566,0.80244666,8.405537,8.273089,8.906116,8.739154,,,,,,,,,64.78005540166205,64.78005540166205
250.05501,0.13777405,0.09491592,0.05255207,0.09732238,0.12283538,0.10807617,-0.6902417,0.87684196,8.40611,8.27542,8.908663,8.743289,,,,,,,,,64.78005540166205,64.78005540166205
250.05751,0.30516425,0.24201782,0.22670685,0.22920685,0.34433258,0.30590126,-0.50763243,1.0628334,8.408012,8.282125,8.909663,8.740227,,,,,,,,,64.78005540166205,64.78005540166205
250.06001,0.40661383,0.33332244,0.32984713,0.3103665,0.4846733,0.43271324,-0.38758484,1.1879535,8.403092,8.288923,8.90727,8.730826,,,,,,,,,64.78005540166205,64.78005540166205
250.06252,0.37279838,0.30965194,0.31970218,0.27316725,0.46776396,0.42933264,-0.39772978,1.1845728,8.392629,8.289845,8.900629,8.722186,,,,,,,,,64.78005540166205,64.78005540166205
250.06502,0.18004417,0.15747756,0.19289039,0.12606697,0.3105171,0.27884856,-0.54313976,1.0780509,8.392813,8.28739,8.900701,8.715175,,,,,,,,,64.78005540166205,64.78005540166205
250.0675,-0.07865226,-0.07247589,-0.02522581,-0.08021438,0.011240845,-0.008590851,-0.8119812,0.8092094,8.395319,8.284581,8.906002,8.710816,,,,,,,,,64.78005540166205,64.78005540166205
250.07,-0.2646421,-0.25508514,-0.1993804,-0.23238875,-0.24745558,-0.21994469,-1.0030435,0.5877122,8.399216,8.280705,8.909766,8.714385,,,,,,,,,64.78005540166205,64.78005540166205
250.07251,-0.25280684,-0.27199125,-0.23150596,-0.23576935,-0.29817718,-0.23347022,-1.0216447,0.5691126,8.406314,8.282187,8.916811,8.722947,,,,,,,,,64.78005540166205,64.78005540166205
250.07501,-0.1429026,-0.19421539,-0.17909047,-0.1478469,-0.20687576,-0.13371253,-0.9320288,0.6790168,8.40433,8.2854,8.92634,8.737955,,,,,,,,,64.78005540166205,64.78005540166205
250.07751,0.0075798794,-0.04034912,-0.06411455,-0.017654343,-0.037792053,0.023534317,-0.7781657,0.8396443,8.402642,8.281317,8.937644,8.752114,,,,,,,,,64.78005540166205,64.78005540166205
250.08002,0.13608214,0.09829971,0.045788895,0.08210494,0.11100174,0.15880096,-0.64120877,0.9427842,8.395902,8.271307,8.936736,8.759613,,,,,,,,,64.78005540166205,64.78005540166205
250.0825,0.147919,0.13042328,0.08636873,0.085487135,0.1414366,0.18585365,-0.6175383,0.96138376,8.381122,8.257431,8.929682,8.760803,,,,,,,,,64.78005540166205,64.78005540166205
250.085,0.021107024,0.0086837765,-0.018462237,-0.014272155,0.043367613,0.081021875,-0.74096644,0.8396443,8.376273,8.248353,8.925773,8.755352,,,,,,,,,64.78005540166205,64.78005540166205
250.08751,-0.1175402,-0.1654692,-0.17909047,-0.15799186,-0.13416916,-0.08806022,-0.9303401,0.63336456,8.375107,8.242674,8.919926,8.7490425,,,,,,,,,64.78005540166205,64.78005540166205
250.09001,-0.22237197,-0.30073744,-0.29068503,-0.2695864,-0.26267302,-0.20134506,-1.0436233,0.5014801,8.371046,8.243938,8.911066,8.741193,,,,,,,,,64.78005540166205,64.78005540166205
250.09251,-0.18686461,-0.29228118,-0.268704,-0.2763492,-0.23392685,-0.18443732,-1.008116,0.5099347,8.3741255,8.25599,8.904372,8.731041,,,,,,,,,64.78005540166205,64.78005540166205
250.09502,-0.0211631,-0.15194365,-0.1249843,-0.15460968,-0.07329941,-0.044098206,-0.8305792,0.65872693,8.384814,8.272871,8.904383,8.721933,,,,,,,,,64.78005540166205,64.78005540166205
