Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
535.0025,0.23191772,0.19244339,0.23951522,0.22065604,0.1875888,0.1570706,-0.11850631,-0.07172447,8.37702,8.260809,8.920338,8.717048,2.0,982.0,2.0,969.0,2.0,606.0,2.0,552.5,76.4235294117647,74.95384615384614
535.005,0.22515334,0.20089644,0.22598848,0.21558356,0.24169418,0.20441322,-0.103288874,-0.086941905,8.376927,8.261638,8.91877,8.7186365,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,76.4235294117647,74.95384615384614
535.0075,0.12370376,0.121428676,0.13468425,0.14118828,0.14869766,0.13170822,-0.0745459,-0.08355972,8.376416,8.259846,8.91549,8.719476,6.0,1.0,6.0,0.0,6.0,1.0,6.0,1.0,76.4235294117647,74.95384615384614
535.01,-0.020014342,-0.008763885,-0.009035854,0.010994109,-0.028839111,-0.0018665313,-0.06270904,-0.0632698,8.377152,8.257078,8.915233,8.719797,8.0,6.0,8.0,11.0,8.0,12.0,8.0,9.0,76.4235294117647,74.95384615384614
535.0125,-0.13837326,-0.1288147,-0.12739317,-0.114125974,-0.2029921,-0.13544127,-0.030582275,-0.022689972,8.3773985,8.253566,8.917739,8.719291,10.0,7.0,10.0,3.0,10.0,1.0,10.0,4.0,76.4235294117647,74.95384615384614
535.015,-0.15021011,-0.16432205,-0.13753812,-0.15132523,-0.28584364,-0.21491066,-0.005219879,-0.012545013,8.375322,8.250602,8.918368,8.718929,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,76.4235294117647,74.95384615384614
535.0175,-0.063977964,-0.106832884,-0.036088943,-0.08538299,-0.2503363,-0.19969322,0.0015412902,-0.00070976256,8.372151,8.250508,8.918523,8.72006,14.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0,76.4235294117647,74.95384615384614
535.02,0.04930847,0.011526031,0.12622999,0.053264234,-0.14381424,-0.09655334,-0.0001473999,0.011125488,8.3708725,8.252819,8.919162,8.721396,16.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,76.4235294117647,74.95384615384614
535.0225,0.15075806,0.12988174,0.2682594,0.18853088,-0.0068572997,0.069148175,0.026903685,0.016197966,8.372827,8.255006,8.919358,8.722137,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,76.4235294117647,74.95384615384614
535.025,0.12539566,0.12819305,0.25473267,0.19529365,0.047248077,0.15368843,0.065794826,0.017889861,8.375946,8.25684,8.920668,8.721572,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,76.4235294117647,74.95384615384614
535.0275,0.0138011165,0.02167099,0.1465199,0.08877159,0.008360137,0.1114183,0.10975525,0.038179778,8.379976,8.25885,8.921782,8.7199335,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,76.4235294117647,74.95384615384614
535.03,-0.14175384,-0.13726775,-0.010726547,-0.08538299,-0.13197738,-0.027228927,0.123280786,0.048324738,8.38285,8.260964,8.923484,8.717408,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,76.4235294117647,74.95384615384614
