Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
380.00253,0.19482742,0.042845305,-0.019287357,0.03792343,0.016662598,0.092869945,0.09633545,-0.02026268,8.381234,8.266582,8.914603,8.718354,2.0,942.5,2.0,929.0,2.0,770.0,2.0,731.0,80.9190311418685,80.9190311418685
380.005,0.15424758,-0.0011183167,-0.063248575,0.039613724,-0.010391693,0.06750755,0.086190484,-0.035480116,8.381459,8.266105,8.914913,8.718364,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,80.9190311418685,80.9190311418685
380.0075,0.08154258,-0.07044113,-0.12580901,0.01594162,-0.091551356,0.02185684,0.015175781,-0.10480453,8.381265,8.26569,8.914995,8.718559,6.0,0.0,6.0,0.0,6.0,1.0,6.0,1.0,80.9190311418685,80.9190311418685
380.01,0.017292252,-0.15329269,-0.19682373,-0.029710693,-0.20821518,-0.05761253,-0.09472687,-0.18934639,8.380569,8.265545,8.915201,8.719232,8.0,1.0,8.0,4.0,8.0,10.0,8.0,0.0,80.9190311418685,80.9190311418685
380.0125,0.024055023,-0.15667327,-0.19513303,-0.036473464,-0.26063186,-0.07959274,-0.13361801,-0.2096363,8.379526,8.265389,8.91579,8.720139,10.0,12.0,10.0,10.0,10.0,3.0,10.0,12.0,80.9190311418685,80.9190311418685
380.015,0.10014221,-0.08735046,-0.11566406,0.005796661,-0.20314269,-0.010269928,-0.082893215,-0.15552932,8.378544,8.26483,8.916718,8.720948,12.0,1.0,12.0,0.0,12.0,0.0,12.0,1.0,80.9190311418685,80.9190311418685
380.01752,0.24047972,0.039461516,0.0060750386,0.09879158,-0.057732694,0.126687,0.03715759,-0.038862303,8.378145,8.264353,8.918161,8.721933,14.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0,80.9190311418685,80.9190311418685
380.02002,0.3723642,0.16120102,0.12781413,0.2171505,0.121492766,0.28900635,0.1808757,0.1065477,8.378278,8.264301,8.919719,8.722986,16.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,80.9190311418685,80.9190311418685
380.02252,0.46366882,0.24405257,0.21235518,0.2881652,0.24661605,0.38707373,0.2569629,0.19277984,8.378585,8.264105,8.921039,8.723669,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,80.9190311418685,80.9190311418685
380.02502,0.40110877,0.22714324,0.17684823,0.2611109,0.23815978,0.35663885,0.2316005,0.17587212,8.378636,8.263845,8.9219675,8.724108,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,80.9190311418685,80.9190311418685
380.02753,0.27936926,0.16796538,0.09737926,0.19178809,0.14685516,0.2518087,0.15382461,0.09302215,8.378585,8.263814,8.922308,8.724537,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,80.9190311418685,80.9190311418685
380.03003,0.122122414,0.049606476,-0.019287357,0.08864662,-0.028989716,0.09456184,0.021940155,-0.02533516,8.378565,8.2637415,8.922184,8.724897,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,80.9190311418685,80.9190311418685
380.03253,0.042654645,-0.021408234,-0.0818478,0.021014098,-0.14227295,-0.0018152618,-0.0626033,-0.094659574,8.37834,8.263369,8.921782,8.725063,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,80.9190311418685,80.9190311418685
380.035,0.06801704,-0.023096923,-0.06663036,0.009178848,-0.13889237,0.001566925,-0.0626033,-0.096349865,8.378267,8.263275,8.921359,8.725093,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,80.9190311418685,80.9190311418685
380.0375,0.16946502,0.02424408,0.016219998,0.04975868,-0.052660216,0.06074478,0.021940155,-0.030407637,8.378636,8.263545,8.920946,8.7252,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,80.9190311418685,80.9190311418685
380.04,0.25738907,0.0935701,0.11597849,0.114009015,0.058934323,0.14866722,0.1555133,0.057514798,8.379536,8.264114,8.920152,8.725375,,,,,,,,,80.9190311418685,80.9190311418685
380.0425,0.30642197,0.13753052,0.16670327,0.15120827,0.12656525,0.19770172,0.21807495,0.10147522,8.380507,8.264913,8.918966,8.725433,,,,,,,,,80.9190311418685,80.9190311418685
380.045,0.20835456,0.059751432,0.08554361,0.097101286,0.05724243,0.14021416,0.14706023,0.057514798,8.38107,8.266188,8.917831,8.725093,,,,,,,,,80.9190311418685,80.9190311418685
380.04752,0.06463485,-0.07213303,-0.031123009,0.010869141,-0.078022614,0.040454865,0.018556366,-0.05407974,8.381643,8.267462,8.917306,8.724546,,,,,,,,,80.9190311418685,80.9190311418685
380.05002,-0.07063179,-0.21585113,-0.15793498,-0.11087036,-0.2521788,-0.103264846,-0.13361801,-0.19272697,8.382533,8.26856,8.917306,8.724215,,,,,,,,,80.9190311418685,80.9190311418685
380.05252,-0.13150154,-0.28179336,-0.22049543,-0.19541061,-0.35531706,-0.19795166,-0.2063214,-0.24852423,8.383596,8.269566,8.917223,8.7238245,,,,,,,,,80.9190311418685,80.9190311418685
380.05502,-0.12642905,-0.26319534,-0.21373186,-0.19710091,-0.35870084,-0.20471443,-0.19617644,-0.22992462,8.384446,8.270436,8.917233,8.723016,,,,,,,,,80.9190311418685,80.9190311418685
380.05753,-0.053722456,-0.18541625,-0.13595398,-0.1260878,-0.25893995,-0.12693694,-0.12854552,-0.15214713,8.385131,8.271348,8.917254,8.722109,,,,,,,,,80.9190311418685,80.9190311418685
380.06003,0.054489896,-0.08058609,-0.034504794,-0.034783173,-0.09662384,0.013402175,-0.022023467,-0.05407974,8.385683,8.272208,8.9171715,8.721553,,,,,,,,,80.9190311418685,80.9190311418685
380.06253,0.16101196,0.0039541624,0.021292476,0.017633514,0.020043181,0.12330482,0.04899124,-0.0016646575,8.385888,8.272633,8.916955,8.721026,,,,,,,,,80.9190311418685,80.9190311418685
380.06503,0.13903014,-0.028169403,-0.027741622,0.009178848,0.006517639,0.11485176,0.03715759,-0.037172012,8.3856735,8.272364,8.916584,8.7204895,,,,,,,,,80.9190311418685,80.9190311418685
380.0675,0.069707334,-0.100876,-0.102137715,-0.016183548,-0.07633392,0.05398201,-0.020331573,-0.13016693,8.384855,8.271721,8.916388,8.720197,,,,,,,,,80.9190311418685,80.9190311418685
380.07,-0.013142624,-0.18372756,-0.1782245,-0.07367111,-0.2048346,-0.02379547,-0.1116362,-0.24006957,8.384221,8.271182,8.916233,8.720246,,,,,,,,,80.9190311418685,80.9190311418685
380.0725,-0.03174225,-0.20739807,-0.1816063,-0.08719826,-0.25386748,-0.03901291,-0.1369986,-0.27895913,8.383853,8.271089,8.916068,8.720353,,,,,,,,,80.9190311418685,80.9190311418685
380.075,0.049417417,-0.13638335,-0.1055191,-0.038163755,-0.19638152,0.016784362,-0.104871824,-0.23837928,8.383412,8.27111,8.915666,8.720295,,,,,,,,,80.9190311418685,80.9190311418685
380.0775,0.18299216,-0.011263275,0.03481882,0.06497612,-0.061116483,0.124996714,-0.00680603,-0.12171226,8.382544,8.271016,8.916171,8.720314,,,,,,,,,80.9190311418685,80.9190311418685
380.08002,0.3233313,0.13753052,0.18022962,0.20193306,0.116420284,0.26364395,0.1318428,0.032152403,8.381735,8.270353,8.9171095,8.72084,,,,,,,,,80.9190311418685,80.9190311418685
380.08252,0.42985174,0.24405257,0.26307997,0.29492795,0.24999663,0.3464939,0.22483611,0.13867447,8.381347,8.268912,8.917584,8.721796,,,,,,,,,80.9190311418685,80.9190311418685
380.08502,0.40110877,0.23390761,0.23264511,0.27463806,0.2584497,0.3228218,0.22314742,0.12514731,8.3806,8.267027,8.918326,8.722986,,,,,,,,,80.9190311418685,80.9190311418685
380.08752,0.2912045,0.15782043,0.14810406,0.17826095,0.16545638,0.24166374,0.15382461,0.038915176,8.379812,8.265483,8.919172,8.724049,,,,,,,,,80.9190311418685,80.9190311418685
380.09003,0.150867,0.041153412,0.03481882,0.05483116,-0.0053192135,0.11485176,0.02024826,-0.08451462,8.379096,8.264146,8.919564,8.724546,,,,,,,,,80.9190311418685,80.9190311418685
380.09253,0.05618019,-0.03662567,-0.036195487,-0.01787384,-0.10845748,0.035382383,-0.05921951,-0.15383904,8.378104,8.263017,8.919667,8.724517,,,,,,,,,80.9190311418685,80.9190311418685
380.09503,0.06463485,-0.028169403,-0.034504794,-0.021256026,-0.11522186,0.0320018,-0.05414703,-0.14538437,8.377542,8.26228,8.919977,8.724429,,,,,,,,,80.9190311418685,80.9190311418685
380.0975,0.13733986,0.020863494,0.0398913,0.04806839,-0.06956955,0.08948936,-4.1656494e-05,-0.05915222,8.377173,8.261659,8.919956,8.72442,,,,,,,,,80.9190311418685,80.9190311418685
380.1,0.23540725,0.10202316,0.1345777,0.14444388,0.025115661,0.17402962,0.09295486,0.054132614,8.376478,8.260913,8.919245,8.724488,,,,,,,,,80.9190311418685,80.9190311418685
380.1025,0.28613204,0.14429489,0.17008466,0.16811599,0.08767731,0.2010839,0.15382461,0.11162017,8.3757925,8.260426,8.918069,8.724049,,,,,,,,,80.9190311418685,80.9190311418685
380.105,0.18130188,0.06482391,0.07878044,0.08188385,0.038644407,0.13175948,0.1301509,0.06427757,8.37523,8.260021,8.9167795,8.722938,,,,,,,,,80.9190311418685,80.9190311418685
380.1075,0.030817794,-0.07551361,-0.05310362,-0.04492813,-0.07295013,0.020164946,0.027012633,-0.04393478,8.375066,8.259763,8.916047,8.721543,,,,,,,,,80.9190311418685,80.9190311418685
380.11002,-0.102756955,-0.21923491,-0.19006056,-0.17681098,-0.23696136,-0.098192364,-0.11670867,-0.1606018,8.375353,8.259929,8.915717,8.720422,,,,,,,,,80.9190311418685,80.9190311418685
380.11252,-0.17715225,-0.30715576,-0.26614735,-0.2461354,-0.33502716,-0.14384468,-0.18095902,-0.21301688,8.375936,8.260239,8.915862,8.719573,,,,,,,,,80.9190311418685,80.9190311418685
380.11502,-0.1399546,-0.3003946,-0.25600237,-0.22584549,-0.32995468,-0.120172575,-0.17419784,-0.21301688,8.376089,8.260457,8.916398,8.719027,,,,,,,,,80.9190311418685,80.9190311418685
380.11752,-0.0435775,-0.23276046,-0.1765338,-0.14468582,-0.24203384,-0.06268501,-0.11332809,-0.15383904,8.375925,8.2607155,8.9168825,8.718929,,,,,,,,,80.9190311418685,80.9190311418685
