Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
75.0025,0.014300995,-0.117695615,-0.06893148,-0.10848953,-0.103570856,-0.23831359,0.06467972,-0.0297171,8.354579,8.239856,8.896101,8.708525,2.0,945.5,2.0,941.5,2.0,648.5,2.0,626.5,83.81935483870967,81.19999999999999
75.005005,0.16816406,0.037859343,0.0815518,0.057210386,0.014788055,-0.136864,0.047770385,-0.04662483,8.355254,8.240312,8.8959875,8.70831,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,83.81935483870967,81.19999999999999
75.00751,0.23410629,0.10718215,0.14242114,0.1265348,0.104400784,-0.04725128,0.013954925,-0.088894956,8.355428,8.241306,8.896853,8.708388,6.0,1.0,6.0,0.0,6.0,2.0,6.0,1.0,83.81935483870967,81.19999999999999
75.01,0.15294662,0.05814926,0.07478823,0.08088249,0.109473266,-0.021888886,-0.013099365,-0.13285698,8.356563,8.242488,8.897823,8.708534,8.0,5.0,8.0,11.0,8.0,12.0,8.0,8.0,83.81935483870967,81.19999999999999
75.012505,0.0126091,-0.060209654,-0.02327917,-0.020567093,0.04522293,-0.05232376,-0.024933014,-0.151455,8.358476,8.243814,8.898793,8.708622,10.0,7.5,10.0,3.0,10.0,0.0,10.0,5.0,83.81935483870967,81.19999999999999
75.01501,-0.12096404,-0.21069214,-0.13318262,-0.13385193,-0.07820846,-0.15377334,-0.041842345,-0.14638251,8.360757,8.2452135,8.899453,8.708241,12.0,0.5,12.0,0.0,12.0,0.0,12.0,0.0,83.81935483870967,81.19999999999999
75.0175,-0.131109,-0.25803635,-0.1602361,-0.15752403,-0.17289367,-0.25015044,-0.06889664,-0.14469223,8.3628025,8.246933,8.899205,8.707608,14.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0,83.81935483870967,81.19999999999999
75.020004,-0.01444519,-0.18025726,-0.09091209,-0.07467407,-0.16951309,-0.27044037,-0.11623764,-0.16667244,8.3644285,8.249866,8.899267,8.706993,16.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,83.81935483870967,81.19999999999999
75.02251,0.17830901,-0.012865447,0.040971965,0.077500306,-0.05791855,-0.21464309,-0.13652755,-0.17005461,8.366065,8.25399,8.898978,8.706808,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,83.81935483870967,81.19999999999999
75.025,0.34401214,0.15114257,0.18131028,0.24320182,0.11116516,-0.09459388,-0.14836441,-0.18358177,8.367927,8.258083,8.898741,8.707676,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,83.81935483870967,81.19999999999999
75.027504,0.38966444,0.2153961,0.23372577,0.30914405,0.23797713,0.023763428,-0.16696243,-0.19541702,8.369819,8.261026,8.899278,8.709763,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,83.81935483870967,81.19999999999999
75.03001,0.26623306,0.1460701,0.1508754,0.2246022,0.2650282,0.06941574,-0.15681747,-0.19372672,8.371037,8.262446,8.900062,8.712961,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,83.81935483870967,81.19999999999999
75.0325,0.07685944,0.009116363,0.0037739181,0.06566505,0.19232482,0.035598677,-0.12469391,-0.19034454,8.372622,8.263358,8.901516,8.716638,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,83.81935483870967,81.19999999999999
75.035,-0.10236602,-0.14982238,-0.13318262,-0.09665428,0.04522293,-0.06923149,-0.08918655,-0.16159995,8.375107,8.264436,8.902928,8.719856,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,83.81935483870967,81.19999999999999
75.037506,-0.1581633,-0.20900024,-0.17038107,-0.15245155,-0.06637161,-0.16899078,-0.04522293,-0.11425735,8.377132,8.266374,8.904507,8.722752,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,83.81935483870967,81.19999999999999
75.04,-0.07869552,-0.1684204,-0.12303806,-0.101726755,-0.069752194,-0.19773376,-0.023244323,-0.087204665,8.378953,8.269472,8.906518,8.725521,,,,,,,,,83.81935483870967,81.19999999999999
75.0425,0.07347885,-0.055137176,-0.021588478,0.013249969,-0.012266235,-0.16560858,0.00042938231,-0.065224454,8.381111,8.272426,8.909106,8.728505,,,,,,,,,83.81935483870967,81.19999999999999
75.045006,0.22396132,0.07505539,0.10691419,0.14682472,0.11116516,-0.06923149,0.029172363,-0.05169731,8.383249,8.274581,8.9119835,8.731362,,,,,,,,,83.81935483870967,81.19999999999999
75.0475,0.2543962,0.10210968,0.120440535,0.1755677,0.21599533,0.025453718,0.05453476,-0.026334913,8.3856735,8.276094,8.913922,8.733079,,,,,,,,,83.81935483870967,81.19999999999999
75.05,0.13772918,-0.006101074,0.017300261,0.09440964,0.23459335,0.038980864,0.074824676,0.010862731,8.387207,8.277058,8.914789,8.732913,,,,,,,,,83.81935483870967,81.19999999999999
75.052505,-0.036423795,-0.18025726,-0.121346965,-0.045929488,0.13990813,-0.040488508,0.07820526,0.024389876,8.387821,8.277586,8.915501,8.731597,,,,,,,,,83.81935483870967,81.19999999999999
75.055,-0.19536254,-0.34426847,-0.2599946,-0.20148444,-0.029172363,-0.17744385,0.090042114,0.039607313,8.387975,8.27828,8.915811,8.730144,,,,,,,,,83.81935483870967,81.19999999999999
75.0575,-0.26130477,-0.4068269,-0.30395582,-0.24037398,-0.18303862,-0.30087525,0.105259545,0.039607313,8.388282,8.279223,8.915584,8.729324,,,,,,,,,83.81935483870967,81.19999999999999
75.060005,-0.1835257,-0.33412352,-0.22110546,-0.15245155,-0.21516539,-0.32454574,0.11033203,0.022699583,8.388312,8.280271,8.915274,8.729412,,,,,,,,,83.81935483870967,81.19999999999999
75.0625,-0.021206358,-0.19040221,-0.0875307,-0.015494613,-0.15091187,-0.27382094,0.09680648,-0.00773529,8.388016,8.280871,8.914408,8.730124,,,,,,,,,83.81935483870967,81.19999999999999
75.065,0.16985595,-0.03146347,0.04942623,0.11808014,-0.015646819,-0.17068107,0.07144409,-0.038170166,8.387637,8.280612,8.913459,8.7308655,,,,,,,,,83.81935483870967,81.19999999999999
75.067505,0.23749007,0.05814926,0.10015062,0.16204216,0.09763641,-0.07430397,0.032552946,-0.09396744,8.387484,8.280333,8.912696,8.731158,,,,,,,,,83.81935483870967,81.19999999999999
75.07001,0.16478348,0.044620514,0.06295257,0.11131737,0.13314377,-0.021888886,0.024099883,-0.12947479,8.387903,8.2794,8.912345,8.731138,,,,,,,,,83.81935483870967,81.19999999999999
75.0725,0.017681578,-0.07542709,-0.043569088,-0.022257384,0.107781366,-0.03710632,0.037625425,-0.122712016,8.387995,8.278208,8.912572,8.731168,,,,,,,,,83.81935483870967,81.19999999999999
75.075005,-0.12096404,-0.24789138,-0.16361749,-0.16428679,0.016476745,-0.13179153,0.03931732,-0.087204665,8.387985,8.27828,8.912148,8.7310505,,,,,,,,,83.81935483870967,81.19999999999999
75.07751,-0.15309082,-0.32735914,-0.19405237,-0.1896492,-0.09849838,-0.25522292,-0.0046430966,-0.09227714,8.388947,8.279742,8.911365,8.730115,,,,,,,,,83.81935483870967,81.19999999999999
75.08,-0.033043213,-0.24619949,-0.10782062,-0.08988991,-0.11540451,-0.28396592,-0.07396911,-0.13454726,8.38957,8.281182,8.911262,8.728291,,,,,,,,,83.81935483870967,81.19999999999999
75.082504,0.14111297,-0.08895263,0.03759018,0.07581001,-0.059607238,-0.21633339,-0.12469391,-0.16498214,8.388885,8.281628,8.910974,8.726312,,,,,,,,,83.81935483870967,81.19999999999999
75.08501,0.31695783,0.08181976,0.20160021,0.26349175,0.060440365,-0.08613922,-0.13483886,-0.16836433,8.387882,8.280933,8.910829,8.725112,,,,,,,,,83.81935483870967,81.19999999999999
75.0875,0.36261016,0.16297942,0.2506339,0.32605177,0.1737236,0.037290573,-0.14498061,-0.16159995,8.387464,8.279825,8.911726,8.724946,,,,,,,,,83.81935483870967,81.19999999999999
75.090004,0.26285246,0.11901901,0.17792849,0.2499646,0.21937591,0.093087845,-0.13652755,-0.14131165,8.387627,8.278374,8.912737,8.725327,,,,,,,,,83.81935483870967,81.19999999999999
