Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
55.002502,0.23276848,0.19103026,0.22571932,0.16950668,0.25487685,0.23228301,0.043322753,0.054275207,8.379843,8.25655,8.917945,8.7377205,2.0,913.5,2.0,908.5,2.0,630.5,2.0,600.0,80.36288659793813,80.9190311418685
55.005,0.16682625,0.13016053,0.17668562,0.10187416,0.1973909,0.19170319,0.07206573,0.07456512,8.378708,8.254737,8.917058,8.729978,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,80.36288659793813,80.9190311418685
55.007504,-0.019163588,-0.040611874,0.01267559,-0.046918027,0.0012561035,0.010785827,0.092355646,0.07794731,8.383689,8.256861,8.911097,8.722401,6.0,0.0,6.0,0.0,6.0,1.0,6.0,1.0,80.36288659793813,80.9190311418685
55.010002,-0.21868056,-0.22998549,-0.19022317,-0.23967223,-0.25067917,-0.2242385,0.121101834,0.0796376,8.393887,8.263969,8.90299,8.715917,8.0,1.0,8.0,1.0,8.0,11.5,8.0,1.0,80.36288659793813,80.9190311418685
55.0125,-0.3809999,-0.36863112,-0.350851,-0.38508224,-0.44174147,-0.3967028,0.14984481,0.09147445,8.39943,8.273482,8.896472,8.712864,10.0,12.5,10.0,13.0,10.0,1.5,10.0,11.5,80.36288659793813,80.9190311418685
55.015003,-0.37423712,-0.3500331,-0.3542328,-0.3969175,-0.4603395,-0.41361052,0.14984481,0.09485504,8.404186,8.280073,8.893719,8.7121525,12.0,0.5,12.0,0.0,12.0,0.0,12.0,0.5,80.36288659793813,80.9190311418685
55.0175,-0.2795503,-0.24689162,-0.26292858,-0.31744972,-0.37241867,-0.3256881,0.09912002,0.06442016,8.403317,8.281919,8.892564,8.711655,14.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0,80.36288659793813,80.9190311418685
55.020004,-0.12568565,-0.09978973,-0.10399103,-0.17034782,-0.18980941,-0.16506065,0.045014646,0.020459747,8.397753,8.27798,8.893997,8.712659,16.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,80.36288659793813,80.9190311418685
55.022503,0.009580993,0.00673233,0.02282055,-0.05199051,-0.024106292,-0.02641342,0.012887878,-0.023502273,8.395809,8.270944,8.897472,8.712571,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,80.36288659793813,80.9190311418685
55.025,0.043396454,0.023638457,0.04141977,-0.02493782,0.031687774,0.014166412,0.0061235046,-0.04886467,8.391605,8.262674,8.89903,8.711352,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,80.36288659793813,80.9190311418685
