Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
0.0025000002,-0.50048995,-0.17097747,-0.24660283,-0.16636321,0.67050934,0.92618084,-1.8532814,1.5289423,8.408575,8.236602,8.961581,8.7817,2.0,839.0,2.0,846.5,2.0,536.0,2.0,605.0,82.92765957446808,69.80776119402985
0.0050000004,-0.52077985,-0.19633988,-0.24153036,-0.21201552,0.6806543,0.94647074,-1.8668101,1.4494746,8.363528,8.20827,9.011581,8.800823,4.0,0.0,4.0,1.0,4.0,0.0,4.0,2.0,82.92765957446808,69.80776119402985
0.0075000003,-0.5495228,-0.27242705,-0.24491213,-0.30332014,0.6333133,0.9312533,-1.8600457,1.3987497,8.324609,8.211078,8.975711,8.763348,6.0,0.0,6.0,1.0,6.0,0.0,6.0,0.0,82.92765957446808,69.80776119402985
0.010000001,-0.5934865,-0.35358673,-0.24153036,-0.39462316,0.5859691,0.90589094,-1.8296108,1.3733873,8.32732,8.215607,8.8875,8.69378,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,82.92765957446808,69.80776119402985
0.0125,-0.51739925,-0.3079344,-0.1316269,-0.35066277,0.6383858,0.9380177,-1.789031,1.3649327,8.342295,8.200238,8.8127165,8.619512,10.0,0.0,10.0,0.0,10.0,3.0,10.0,1.0,82.92765957446808,69.80776119402985
0.015000001,-0.35000747,-0.15576003,0.06619938,-0.20694305,0.7837958,1.0529928,-1.7636687,1.3547877,8.324537,8.166456,8.79409,8.589087,12.0,2.0,12.0,8.5,12.0,10.5,12.0,6.0,82.92765957446808,69.80776119402985
0.0175,-0.1234378,0.08940765,0.31305936,-0.027715987,1.0086735,1.2457471,-1.7433788,1.3530974,8.279502,8.136642,8.815656,8.617318,14.0,9.0,14.0,4.5,14.0,1.5,14.0,5.5,82.92765957446808,69.80776119402985
0.020000001,0.091298215,0.33965102,0.5413205,0.15151107,1.2555363,1.4756988,-1.7349256,1.3294253,8.243702,8.130539,8.870369,8.673399,16.0,2.5,16.0,0.0,16.0,0.0,16.0,0.5,82.92765957446808,69.80776119402985
0.0225,0.21134582,0.4698436,0.6664414,0.2445076,1.4347618,1.644781,-1.7078713,1.3395703,8.226896,8.148705,8.92633,8.7143755,18.0,0.5,18.0,0.0,18.0,0.0,18.0,0.0,82.92765957446808,69.80776119402985
0.025,0.17414978,0.42419127,0.62586176,0.21238083,1.4736497,1.6515437,-1.6740559,1.3784598,8.216638,8.158487,8.94737,8.7203045,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,82.92765957446808,69.80776119402985
0.027500002,0.0693164,0.28892624,0.49397752,0.10586036,1.3874176,1.5416411,-1.6402404,1.4139671,8.218479,8.156394,8.926237,8.69731,22.0,0.0,22.0,1.0,22.0,0.0,22.0,0.0,82.92765957446808,69.80776119402985
0.030000001,-0.086238556,0.13505997,0.31813183,-0.027715987,1.209884,1.3708671,-1.6013492,1.4562373,8.244541,8.155803,8.883931,8.668494,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,82.92765957446808,69.80776119402985
0.032500003,-0.15048888,0.08433517,0.24542683,-0.06998611,1.0915251,1.2592726,-1.545552,1.4985074,8.277344,8.161367,8.89573,8.652443,26.0,0.0,26.0,0.0,26.0,0.0,26.0,1.0,82.92765957446808,69.80776119402985
0.035,-0.13696334,0.10462509,0.25895318,-0.036169052,1.0441809,1.2508196,-1.537099,1.5086523,8.304776,8.171544,8.928268,8.666759,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,82.92765957446808,69.80776119402985
0.0375,-0.0744017,0.18240418,0.328277,0.029773178,1.0661627,1.3252147,-1.5489358,1.5255617,8.298966,8.174664,8.947329,8.703034,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,82.92765957446808,69.80776119402985
0.040000003,-0.03382187,0.22805648,0.37054753,0.060208052,1.1253406,1.3996117,-1.5878237,1.5458516,8.262246,8.16887,8.955507,8.737263,,,,,,,,,82.92765957446808,69.80776119402985
0.0425,-0.07609359,0.1756398,0.31305936,0.0010285949,1.1371773,1.382704,-1.6114942,1.5830493,8.242219,8.167274,8.925526,8.749929,,,,,,,,,82.92765957446808,69.80776119402985
0.045,-0.26039153,-0.0035856627,0.12706913,-0.15283607,1.0255829,1.2322199,-1.6131861,1.6033392,8.259679,8.1780205,8.847266,8.737594,,,,,,,,,82.92765957446808,69.80776119402985
0.047500003,-0.47512755,-0.2369197,-0.12824512,-0.3658802,0.8193031,0.99719554,-1.6098056,1.6101019,8.297524,8.19344,8.8179865,8.714444,,,,,,,,,82.92765957446808,69.80776119402985
0.05,-0.69831663,-0.4820906,-0.39370432,-0.5789243,0.5589148,0.72835416,-1.6385485,1.5931942,8.330767,8.199099,8.8408,8.702381,,,,,,,,,82.92765957446808,69.80776119402985
0.052500002,-0.781165,-0.5835402,-0.51544344,-0.6719192,0.3864505,0.58294415,-1.6808202,1.5543047,8.326368,8.188342,8.896895,8.69143,,,,,,,,,82.92765957446808,69.80776119402985
0.055000003,-0.7304402,-0.5531053,-0.50360775,-0.6550099,0.34925446,0.59139884,-1.7349256,1.5103443,8.289024,8.163285,8.92698,8.6936245,,,,,,,,,82.92765957446808,69.80776119402985
0.0575,-0.5901027,-0.41952896,-0.3751051,-0.543417,0.45239273,0.71313834,-1.7924116,1.473145,8.26062,8.140621,8.944544,8.702771,,,,,,,,,82.92765957446808,69.80776119402985
0.060000002,-0.461602,-0.2605902,-0.21278617,-0.39631507,0.61978453,0.87883824,-1.8465202,1.4325668,8.265662,8.1303005,8.926825,8.70047,,,,,,,,,82.92765957446808,69.80776119402985
0.0625,-0.39904037,-0.16083251,-0.11640947,-0.2965558,0.73645157,0.99888587,-1.8803357,1.4156574,8.281517,8.141554,8.853444,8.674063,,,,,,,,,82.92765957446808,69.80776119402985
0.065000005,-0.44807327,-0.16928878,-0.124863334,-0.2711934,0.76519775,1.0073406,-1.8871,1.3801501,8.302189,8.17857,8.780497,8.636207,,,,,,,,,82.92765957446808,69.80776119402985
0.0675,-0.508943,-0.22339416,-0.18573308,-0.28810272,0.7398353,0.9583076,-1.8718826,1.3361896,8.332362,8.227492,8.792687,8.620721,,,,,,,,,82.92765957446808,69.80776119402985
0.07,-0.5647403,-0.29609755,-0.2516753,-0.30839264,0.6772737,0.8839107,-1.8532814,1.2956098,8.365349,8.268001,8.856651,8.647206,,,,,,,,,82.92765957446808,69.80776119402985
0.072500005,-0.50048995,-0.25213712,-0.1806606,-0.23568603,0.69418305,0.8889832,-1.8346833,1.2685555,8.388107,8.28368,8.927083,8.699241,,,,,,,,,82.92765957446808,69.80776119402985
0.075,-0.33309814,-0.09658218,-0.013269195,-0.0716764,0.8412817,1.0056502,-1.8211578,1.2533381,8.404084,8.2820635,8.956064,8.751568,,,,,,,,,82.92765957446808,69.80776119402985
0.0775,-0.09131103,0.14858872,0.20991948,0.16334793,1.0864526,1.2186943,-1.7924116,1.2499576,8.421637,8.280457,8.969533,8.782803,,,,,,,,,82.92765957446808,69.80776119402985
0.080000006,0.13356994,0.38699204,0.4026731,0.40344474,1.3569827,1.4875342,-1.7670492,1.2347401,8.436478,8.291783,9.000876,8.778102,,,,,,,,,82.92765957446808,69.80776119402985
0.0825,0.25023696,0.50535095,0.47876027,0.5353284,1.5412838,1.6802883,-1.7112552,1.2685555,8.4474325,8.311877,8.98818,8.743347,,,,,,,,,82.92765957446808,69.80776119402985
0.085,0.18767531,0.46139053,0.4195814,0.52011096,1.5700268,1.7056507,-1.6368567,1.3226626,8.458316,8.338685,8.957498,8.709081,,,,,,,,,82.92765957446808,69.80776119402985
0.087500006,0.04902649,0.33457854,0.2843156,0.4102075,1.510849,1.6143461,-1.5641532,1.3632424,8.4881525,8.371494,8.947535,8.719866,,,,,,,,,82.92765957446808,69.80776119402985
0.09,-0.11329284,0.15873367,0.10508852,0.27832305,1.3705114,1.4621718,-1.5049722,1.3987497,8.532584,8.396862,8.93421,8.767512,,,,,,,,,82.92765957446808,69.80776119402985
0.0925,-0.16401763,0.08602706,0.007020721,0.22421767,1.2724425,1.3708671,-1.4542474,1.4393295,8.564211,8.404147,8.947226,8.820004,,,,,,,,,82.92765957446808,69.80776119402985
0.095000006,-0.13527144,0.09786392,-0.006506023,0.23605293,1.2470801,1.352269,-1.4356494,1.4782175,8.569161,8.409173,8.985601,8.836748,,,,,,,,,82.92765957446808,69.80776119402985
0.097500004,-0.07271301,0.16211425,0.0611269,0.30368546,1.2944243,1.4063745,-1.420432,1.5221795,8.565275,8.419163,9.027227,8.816387,,,,,,,,,82.92765957446808,69.80776119402985
0.1,-0.049039304,0.1993135,0.11185169,0.35102966,1.3468378,1.4689361,-1.4238125,1.5407791,8.566953,8.426676,9.031084,8.785289,,,,,,,,,82.92765957446808,69.80776119402985
0.10250001,-0.11498153,0.13505997,0.07127186,0.29692268,1.3079498,1.4283563,-1.4322687,1.5526145,8.560509,8.415795,8.996792,8.783095,,,,,,,,,82.92765957446808,69.80776119402985
0.105000004,-0.2975908,-0.042476807,-0.0842839,0.1210778,1.1287243,1.2508196,-1.4576312,1.5458516,8.541739,8.3878565,8.979104,8.827387,,,,,,,,,82.92765957446808,69.80776119402985
0.1075,-0.5157074,-0.25382903,-0.3024001,-0.11901901,0.8581911,0.98874086,-1.4745373,1.5306342,8.527328,8.364572,8.975732,8.878096,,,,,,,,,82.92765957446808,69.80776119402985
0.11000001,-0.752422,-0.47363433,-0.5255884,-0.34897247,0.5707516,0.70975614,-1.4998997,1.5137248,8.516434,8.358136,9.000711,8.882054,,,,,,,,,82.92765957446808,69.80776119402985
0.112500004,-0.84372663,-0.58692074,-0.6152023,-0.4622573,0.42703032,0.55589145,-1.5354071,1.4900544,8.510532,8.374883,9.057786,8.8200245,,,,,,,,,82.92765957446808,69.80776119402985
0.115,-0.80821925,-0.56663084,-0.58476746,-0.47916502,0.42534164,0.5457465,-1.6081136,1.4274943,8.515585,8.395173,9.068398,8.747024,,,,,,,,,82.92765957446808,69.80776119402985
0.11750001,-0.69324416,-0.4364383,-0.4478105,-0.39969566,0.53693616,0.66072166,-1.6774365,1.3598602,8.517559,8.39995,8.985447,8.720626,,,,,,,,,82.92765957446808,69.80776119402985
0.120000005,-0.5664322,-0.29440886,-0.29394585,-0.289793,0.7094005,0.8365681,-1.7399981,1.3175901,8.514153,8.375328,8.897906,8.752484,,,,,,,,,82.92765957446808,69.80776119402985
0.1225,-0.48189193,-0.21832168,-0.20940478,-0.22723296,0.83113676,0.9667607,-1.7721217,1.304063,8.490525,8.33167,8.875866,8.796884,,,,,,,,,82.92765957446808,69.80776119402985
0.125,-0.5106349,-0.23353912,-0.2077137,-0.2204686,0.85142666,1.0090308,-1.7755054,1.2770102,8.432581,8.300116,8.900784,8.822453,,,,,,,,,82.92765957446808,69.80776119402985
0.12750001,-0.578269,-0.29609755,-0.24322104,-0.25935814,0.8142306,1.0022681,-1.770433,1.2296677,8.386164,8.301856,8.964861,8.8009205,,,,,,,,,82.92765957446808,69.80776119402985
0.13000001,-0.6475918,-0.36711225,-0.28211018,-0.2965558,0.7601253,0.96507037,-1.7585962,1.2026149,8.3935795,8.32682,8.9533415,8.741865,,,,,,,,,82.92765957446808,69.80776119402985
0.13250001,-0.5647403,-0.29440886,-0.206023,-0.2187783,0.77703136,0.97183317,-1.750143,1.2161405,8.432386,8.350146,8.871162,8.683268,,,,,,,,,82.92765957446808,69.80776119402985
0.135,-0.36353302,-0.11179962,-0.052158333,-0.06829582,0.85988295,1.0377754,-1.7687411,1.2516478,8.452864,8.34765,8.792563,8.643043,,,,,,,,,82.92765957446808,69.80776119402985
0.1375,-0.099764094,0.14858872,0.1794846,0.15658355,1.0019124,1.1679696,-1.7636687,1.2871552,8.44193,8.32569,8.784209,8.641375,,,,,,,,,82.92765957446808,69.80776119402985
0.14,0.12004119,0.38530332,0.404364,0.37131956,1.1557754,1.3404323,-1.7450706,1.2820827,8.422056,8.30596,8.835231,8.664496,,,,,,,,,82.92765957446808,69.80776119402985
0.14250001,0.22149077,0.48844162,0.52610326,0.46938616,1.3096417,1.5027516,-1.6875814,1.3125175,8.3871155,8.290685,8.870709,8.683209,,,,,,,,,82.92765957446808,69.80776119402985
0.14500001,0.16062103,0.42926374,0.50581336,0.4338796,1.3975625,1.5602391,-1.6098056,1.3716971,8.350937,8.277949,8.866996,8.689928,,,,,,,,,82.92765957446808,69.80776119402985
0.14750001,0.03380905,0.29399872,0.3959099,0.3138304,1.394182,1.5145868,-1.5489358,1.4359474,8.3317585,8.255607,8.930435,8.7027025,,,,,,,,,82.92765957446808,69.80776119402985
0.15,-0.14203583,0.11646194,0.24373575,0.15827544,1.2893518,1.391157,-1.5117365,1.48329,8.337272,8.218871,9.011808,8.72126,,,,,,,,,82.92765957446808,69.80776119402985
0.1525,-0.20459427,0.045447234,0.19132026,0.07542549,1.2031196,1.2778722,-1.4897548,1.5357066,8.354885,8.191534,9.009385,8.72793,,,,,,,,,82.92765957446808,69.80776119402985
0.155,-0.1690901,0.06742904,0.20991948,0.07880607,1.1676123,1.2254571,-1.4948273,1.5830493,8.350927,8.191379,8.942997,8.711947,,,,,,,,,82.92765957446808,69.80776119402985
0.15750001,-0.07271301,0.1519693,0.2809338,0.12953086,1.1879022,1.2677273,-1.5015916,1.6253194,8.327658,8.200093,8.865418,8.685618,,,,,,,,,82.92765957446808,69.80776119402985
0.16000001,-0.020296326,0.20776656,0.3248952,0.14136611,1.2031196,1.3505772,-1.5421715,1.6456093,8.2942,8.189565,8.809767,8.665656,,,,,,,,,82.92765957446808,69.80776119402985
0.16250001,-0.07947418,0.16380614,0.26909813,0.051753387,1.1439418,1.3759396,-1.5793707,1.6557542,8.242505,8.152114,8.798153,8.653818,,,,,,,,,82.92765957446808,69.80776119402985
0.165,-0.27053648,0.0065592956,0.10508852,-0.12747367,1.0120573,1.2930896,-1.6013492,1.6405368,8.192212,8.105222,8.845224,8.669596,,,,,,,,,82.92765957446808,69.80776119402985
0.1675,-0.519088,-0.1895787,-0.1079552,-0.35066277,0.8412817,1.1273897,-1.6165668,1.6168664,8.174404,8.075812,8.92929,8.708915,,,,,,,,,82.92765957446808,69.80776119402985
