acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
-0.0215614,-0.008773124,-0.027518276,-0.018807767,496.14822,370.39258,-333.94025,-224.73608,0.19658661,2.0,1474.0,86.4
-0.019901995,-0.0063005015,-0.026204225,-0.016748551,494.4252,369.4039,-333.91653,-224.68912,-0.1652481,4.0,2.0,86.4
-0.021491958,-0.010100643,-0.026318856,-0.020110954,494.1451,369.19556,-333.97235,-224.76704,-0.22406708,6.0,0.0,86.4
-0.021392036,-0.00879329,-0.025104433,-0.017291604,494.72232,369.1889,-333.9716,-224.82108,-0.10285308,8.0,0.0,86.4
-0.02016811,-0.00535139,-0.025949579,-0.0146490745,496.19812,370.322,-333.93707,-224.6472,0.2070648,10.0,0.0,86.4
-0.01927308,-0.008982158,-0.024698563,-0.01816922,495.04623,369.7847,-333.93555,-224.71361,-0.034831237,12.0,0.0,86.4
-0.02011774,-0.0066000926,-0.027078649,-0.017656764,494.20425,369.26166,-333.92825,-224.85237,-0.21164703,14.0,1.0,86.4
-0.018697182,-0.0040287157,-0.026687471,-0.015094867,495.48694,370.08444,-333.9319,-224.65524,0.05771667,16.0,0.0,86.4
-0.019943332,-0.010595975,-0.025524342,-0.022181366,495.17947,369.7043,-333.96793,-224.69096,-0.006850891,18.0,0.0,86.4
-0.021476517,-0.009249655,-0.026717622,-0.019157996,493.75583,368.60364,-333.96475,-224.90472,-0.30581632,20.0,0.0,86.4
-0.020997984,-0.006762385,-0.026432417,-0.016808014,494.74158,369.4831,-333.86905,-224.71863,-0.0988092,22.0,0.0,86.4
-0.021520503,-0.010837957,-0.026401956,-0.020549886,495.87915,370.11063,-333.93317,-224.75848,0.14008117,24.0,0.0,86.4
-0.02188825,-0.008531496,-0.02617916,-0.017621988,494.62918,369.32373,-333.91675,-224.82008,-0.12241241,26.0,0.0,86.4
-0.020138614,-0.004544047,-0.026185978,-0.013016978,494.7187,369.44095,-333.9715,-224.7341,-0.103615716,28.0,0.0,86.4
-0.020306783,-0.009000255,-0.025010105,-0.018565588,495.69403,369.83432,-333.93503,-224.73079,0.10120605,30.0,0.0,86.4
-0.020637697,-0.0072477036,-0.025908068,-0.017083101,495.10074,369.91962,-333.93304,-224.78978,-0.023385314,,,86.4
-0.019833738,-0.0048863464,-0.027704231,-0.015948424,494.12448,369.0198,-333.94946,-224.74962,-0.22839935,,,86.4
-0.02054387,-0.009827298,-0.026629532,-0.021174273,494.24023,369.16776,-333.96677,-224.79213,-0.20409118,,,86.4
-0.020937597,-0.008736715,-0.02701998,-0.019552728,494.36197,369.25198,-333.9341,-224.84068,-0.17852691,,,86.4
-0.021307804,-0.005316168,-0.026155865,-0.015587115,494.93515,369.63696,-333.91147,-224.72514,-0.058158875,,,86.4
-0.021380302,-0.009790149,-0.02611413,-0.019473257,494.7499,369.47952,-333.9837,-224.72913,-0.09705963,,,86.4
-0.020983405,-0.0087668,-0.0254143,-0.017992843,494.8531,369.5446,-333.89587,-224.78613,-0.075391844,,,86.4
-0.020566892,-0.0054276455,-0.026073802,-0.014057799,495.09375,369.3645,-333.88486,-224.69647,-0.024852905,,,86.4
-0.020413421,-0.009849756,-0.026353322,-0.019830462,494.76556,369.36407,-333.9329,-224.74918,-0.09377197,,,86.4
-0.02012076,-0.0074627195,-0.026495678,-0.017602922,493.65985,368.7049,-333.9628,-224.89706,-0.32597166,,,86.4
-0.01884005,-0.005041799,-0.026292436,-0.015578762,495.63113,370.2473,-333.92145,-224.62857,0.08799774,,,86.4
-0.020464944,-0.009812434,-0.025418865,-0.020326218,495.89746,370.60458,-333.99384,-224.74394,0.14392638,,,86.4
-0.020873368,-0.009003482,-0.026804121,-0.019082626,493.68915,368.48477,-333.91183,-224.91145,-0.31981933,,,86.4
-0.020605156,-0.006450842,-0.025823507,-0.015930869,495.27835,370.16632,-333.90027,-224.70055,0.013913268,,,86.4
-0.021689372,-0.010665826,-0.026520554,-0.020429771,494.97708,369.37015,-333.96213,-224.78905,-0.04935333,,,86.4
-0.02175738,-0.008759248,-0.02590785,-0.017738335,493.38754,368.3694,-333.93005,-224.89803,-0.38315642,,,86.4
-0.021274194,-0.0053096297,-0.026431499,-0.015624054,495.4723,370.13187,-333.976,-224.66776,0.0546405,,,86.4
-0.019871451,-0.0095425565,-0.02527085,-0.018937988,494.97452,369.82257,-333.94254,-224.71074,-0.04989166,,,86.4
-0.020561492,-0.006727178,-0.027000815,-0.01811897,494.28754,369.39554,-333.93576,-224.85675,-0.1941577,,,86.4
-0.019565139,-0.004156357,-0.027315032,-0.014785192,493.90976,369.12878,-333.87238,-224.78043,-0.2734909,,,86.4
-0.020064622,-0.010050567,-0.025894068,-0.021179354,493.59702,368.4281,-333.91135,-224.85867,-0.33916718,,,86.4
-0.021328032,-0.008841552,-0.026957775,-0.017828649,494.25397,369.31143,-333.95367,-224.87697,-0.20120727,,,86.4
-0.021036837,-0.0057554967,-0.026087534,-0.015165047,494.3873,369.43164,-333.89417,-224.69229,-0.1732077,,,86.4
-0.02221091,-0.010636803,-0.026803343,-0.020305673,493.9196,368.84763,-333.96002,-224.84177,-0.2714273,,,86.4
-0.02071065,-0.009218978,-0.025719402,-0.017996084,494.82178,369.21387,-333.89114,-224.83087,-0.08196716,,,86.4
-0.021179922,-0.005534711,-0.027717927,-0.01539846,493.7245,368.44946,-333.84726,-224.77211,-0.31239808,,,86.4
-0.019796168,-0.008740435,-0.026243053,-0.019269576,495.35654,370.01108,-333.95837,-224.79001,0.030332336,,,86.4
-0.01957479,-0.007715813,-0.025762398,-0.01778261,494.40518,369.17358,-333.92194,-224.87299,-0.1694522,,,86.4
-0.019352324,-0.0041058436,-0.02615329,-0.014569234,494.11972,369.26865,-333.90857,-224.72061,-0.2293991,,,86.4
-0.01953952,-0.009472692,-0.025130687,-0.01984007,495.69244,369.91324,-333.95773,-224.7491,0.1008728,,,86.4
-0.020120377,-0.00798503,-0.026245156,-0.018643161,495.21118,369.99222,-333.9645,-224.83261,-0.00019226073,,,86.4
-0.020296587,-0.0059126867,-0.025832558,-0.01616771,495.9598,370.45874,-333.90622,-224.63036,0.15701935,,,86.4
-0.021347271,-0.0105229225,-0.026447373,-0.020966124,495.03845,369.50186,-333.96213,-224.7538,-0.03646545,,,86.4
-0.020920893,-0.008769781,-0.026075423,-0.01878466,494.47,369.2634,-333.9701,-224.82378,-0.15584014,,,86.4
-0.021283392,-0.0056429007,-0.026609166,-0.014643722,495.76782,370.2733,-333.91,-224.63036,0.116702266,,,86.4
-0.020359613,-0.009430796,-0.0258454,-0.019866012,494.623,369.38004,-333.94412,-224.80377,-0.123713374,,,86.4
