acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
-0.036253832,-0.023865633,-0.048344094,-0.031801313,655.1423,495.2587,-249.75266,-125.19906,0.17521362,2.0,1436.0,73.22033898305087
-0.03604916,-0.024094239,-0.049228147,-0.032113038,654.58954,495.35205,-249.73149,-125.203674,0.0591394,4.0,2.0,73.22033898305087
-0.036620766,-0.023466203,-0.049876843,-0.030184984,653.885,494.3784,-249.74997,-125.253876,-0.08881164,6.0,0.0,73.22033898305087
-0.035804812,-0.023821222,-0.048280664,-0.030787308,654.53876,494.98453,-249.79886,-125.199394,0.04847534,8.0,0.0,73.22033898305087
-0.035972893,-0.023426944,-0.048451282,-0.032149926,654.77344,495.27625,-249.76405,-125.20316,0.097758174,10.0,0.0,73.22033898305087
-0.036677998,-0.023512626,-0.049149927,-0.031079194,654.31757,494.76425,-249.72041,-125.228935,0.0020251465,12.0,0.0,73.22033898305087
-0.03645782,-0.023732342,-0.04838881,-0.031680454,655.0519,495.1745,-249.77345,-125.21267,0.15623108,14.0,1.0,73.22033898305087
-0.03573573,-0.023340004,-0.050139118,-0.032014355,654.86475,495.19464,-249.7427,-125.202255,0.11693298,16.0,0.0,73.22033898305087
-0.036290925,-0.023024926,-0.04933848,-0.030399684,654.01416,494.63663,-249.73311,-125.23189,-0.061690062,18.0,0.0,73.22033898305087
-0.03639002,-0.024830159,-0.048247796,-0.03156102,654.7064,495.45306,-249.80211,-125.2148,0.08368469,20.0,0.0,73.22033898305087
-0.036321662,-0.024016567,-0.049515165,-0.031810384,654.28503,495.16687,-249.7707,-125.22035,-0.0048065186,22.0,0.0,73.22033898305087
-0.03676118,-0.023045812,-0.049387563,-0.030192519,653.57635,494.5509,-249.7556,-125.244736,-0.15362914,24.0,0.0,73.22033898305087
-0.03536588,-0.024141697,-0.049214583,-0.031008055,654.6771,495.04272,-249.76317,-125.23161,0.07753234,26.0,0.0,73.22033898305087
-0.0356305,-0.023558069,-0.049038503,-0.031724364,654.7201,495.00336,-249.788,-125.203476,0.08655579,28.0,0.0,73.22033898305087
-0.03689777,-0.023107676,-0.049211834,-0.03122956,654.65186,495.3536,-249.75961,-125.23896,0.07222595,30.0,0.0,73.22033898305087
-0.03627147,-0.024467489,-0.048872806,-0.031507965,654.72473,495.20428,-249.7813,-125.221825,0.087529905,,,73.22033898305087
-0.03611044,-0.023907013,-0.049394716,-0.0321697,654.97314,495.51056,-249.74904,-125.20238,0.13969666,,,73.22033898305087
-0.036023673,-0.022969272,-0.049402077,-0.0307257,653.8101,494.29248,-249.73996,-125.21883,-0.10453857,,,73.22033898305087
-0.03632815,-0.024473624,-0.048372503,-0.03194469,654.55634,495.01062,-249.80118,-125.24441,0.052166745,,,73.22033898305087
