acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
-0.0028731376,0.00096091116,-0.029130112,-0.017015677,512.3916,384.61282,-277.9989,-166.22356,-0.24432494,2.0,1461.0,90.0
-0.004088493,0.000740276,-0.029779602,-0.016594982,512.61597,384.9805,-278.0256,-166.19968,-0.19720824,4.0,2.0,90.0
-0.0051197787,0.0028125697,-0.029568763,-0.014291384,512.8926,384.86328,-278.0384,-166.20845,-0.13911986,6.0,0.0,90.0
-0.0031438083,0.00015281339,-0.029404042,-0.017407674,512.1751,384.74362,-278.01306,-166.23131,-0.2897882,8.0,0.0,90.0
-0.0035104484,0.00052596786,-0.030019404,-0.016574955,511.0133,383.18015,-277.9927,-166.28186,-0.53376704,10.0,0.0,90.0
-0.004797779,0.0027920771,-0.029520927,-0.014369189,513.4609,385.65985,-277.98685,-166.174,-0.019777222,12.0,0.0,90.0
-0.004319152,0.0009123202,-0.030936947,-0.016634053,512.52106,384.8155,-277.99106,-166.20578,-0.21713927,14.0,1.0,90.0
-0.0037092941,0.0012115584,-0.030424802,-0.016479675,513.1632,384.4655,-278.02545,-166.22925,-0.082287595,16.0,0.0,90.0
-0.0041452697,0.0025767519,-0.030175528,-0.014067525,513.6517,385.45676,-278.0194,-166.20328,0.020289917,18.0,0.0,90.0
-0.0030601393,0.0016723839,-0.029094579,-0.016692234,513.05695,385.50882,-277.9837,-166.19711,-0.10460266,20.0,0.0,90.0
-0.002705593,0.0010024791,-0.029212864,-0.017055191,512.4215,384.81482,-278.01807,-166.24925,-0.23804443,22.0,0.0,90.0
-0.004397147,0.0025951732,-0.029966677,-0.014199343,512.58905,385.3264,-277.99643,-166.23842,-0.20286071,24.0,0.0,90.0
-0.0035744784,0.001174009,-0.029116446,-0.017174622,513.2703,385.20108,-277.99426,-166.23898,-0.05979309,26.0,0.0,90.0
-0.0028330241,-0.00012691838,-0.030209288,-0.01698843,512.09314,384.46133,-278.01093,-166.27704,-0.30700195,28.0,0.0,90.0
-0.004134095,0.0024677038,-0.03002795,-0.014524909,513.47253,384.88184,-278.02542,-166.19595,-0.0173291,30.0,0.0,90.0
-0.0040047104,0.0015866219,-0.03031999,-0.016560473,513.22723,385.28525,-278.03363,-166.19463,-0.06884216,,,90.0
-0.003456645,0.0007810038,-0.03028895,-0.017753635,512.5628,384.95605,-278.0143,-166.22685,-0.20837219,,,90.0
-0.0035376332,0.0024663135,-0.029233823,-0.014316595,512.405,384.60248,-278.02365,-166.23183,-0.24150512,,,90.0
-0.0040512234,0.0007951365,-0.028921746,-0.015790455,513.5873,385.34866,-278.01376,-166.20158,0.006767578,,,90.0
-0.003567426,0.0014315597,-0.029342674,-0.016478669,511.82068,384.0727,-277.9853,-166.22171,-0.36421874,,,90.0
-0.002469529,0.0022286763,-0.030009048,-0.014872476,512.1449,384.08954,-277.99622,-166.24918,-0.2961328,,,90.0
-0.0023843495,0.000621003,-0.028979827,-0.016085412,513.4136,385.58865,-278.01828,-166.20023,-0.029710693,,,90.0
-0.003806557,0.0007583768,-0.02912776,-0.016731206,512.14545,384.3185,-278.00574,-166.214,-0.29601744,,,90.0
-0.0052396385,0.0018016021,-0.030106312,-0.015127085,511.54837,384.24637,-278.02017,-166.26636,-0.4214035,,,90.0
-0.0044320845,0.00094803126,-0.029747022,-0.016961485,513.6197,385.81863,-278.0214,-166.18605,0.013573608,,,90.0
-0.0033466127,0.00035823064,-0.029731346,-0.016308395,512.3886,384.85986,-277.97342,-166.18858,-0.24495299,,,90.0
-0.004495425,0.0026063034,-0.028924694,-0.013671485,512.6621,384.53296,-278.02643,-166.2317,-0.1875183,,,90.0
-0.003148879,0.00034813458,-0.028053049,-0.015176655,513.6183,385.05756,-278.01822,-166.23405,0.013278808,,,90.0
-0.0039446456,0.0002391685,-0.029204931,-0.016804956,514.10187,385.42746,-278.03464,-166.19453,0.114830926,,,90.0
-0.004741848,0.002408729,-0.029403288,-0.014301367,511.41928,384.5409,-278.03397,-166.23904,-0.44851226,,,90.0
-0.003124446,0.00072257145,-0.029634563,-0.015975306,513.8891,386.05038,-278.0544,-166.17854,0.07014953,,,90.0
-0.0038544629,0.0004941389,-0.029123897,-0.017524809,512.8269,385.0362,-277.99854,-166.17995,-0.15291137,,,90.0
-0.00424533,0.0022466523,-0.029707102,-0.015598673,512.16034,384.62808,-277.98465,-166.22534,-0.29289,,,90.0
-0.0044611422,0.00027133894,-0.030104741,-0.016938284,513.44934,384.99997,-278.02136,-166.18379,-0.022199707,,,90.0
-0.004554385,0.000314943,-0.028905414,-0.016424121,511.7148,383.82663,-278.02094,-166.2495,-0.3864505,,,90.0
-0.004310685,0.0017989354,-0.029618338,-0.015049087,511.7848,383.83707,-277.99118,-166.22565,-0.37175536,,,90.0
-0.003797703,0.0012291684,-0.028868513,-0.016477972,513.1836,385.5932,-278.02695,-166.22731,-0.07800659,,,90.0
-0.003418126,0.0011479808,-0.029558308,-0.016465075,514.62085,386.3867,-278.0151,-166.151,0.22381712,,,90.0
-0.0044053174,0.0026592894,-0.030102639,-0.014588913,512.0321,384.74033,-278.00726,-166.26062,-0.31981933,,,90.0
-0.0030523431,0.0011178139,-0.02842956,-0.01672884,513.1641,385.35147,-278.02655,-166.22166,-0.08209533,,,90.0
-0.0039473497,-0.0006384444,-0.02955812,-0.0174813,512.1576,384.43088,-278.00705,-166.22717,-0.29346678,,,90.0
-0.005610455,0.0019331158,-0.029952561,-0.01584041,512.7498,384.76303,-277.9969,-166.21603,-0.16909973,,,90.0
-0.003954405,0.001131357,-0.030266952,-0.016474988,512.79694,384.51266,-278.0059,-166.23926,-0.1592047,,,90.0
-0.0037143133,0.0001461265,-0.02993744,-0.016960924,512.70026,384.48438,-277.99432,-166.20288,-0.17950743,,,90.0
-0.0033907474,0.0023271136,-0.02874702,-0.015657026,512.38043,384.98804,-278.0209,-166.22104,-0.24667053,,,90.0
-0.0037111936,0.0012263159,-0.030297311,-0.01680812,512.9301,385.4601,-278.0186,-166.23355,-0.13123718,,,90.0
-0.004798704,0.001039557,-0.02974876,-0.015811773,512.33417,384.8398,-278.00726,-166.21878,-0.2563861,,,90.0
-0.004248367,0.0021910903,-0.03042347,-0.015340223,512.35864,385.12747,-277.97327,-166.23642,-0.25124633,,,90.0
-0.0039589056,-0.00012330846,-0.030205142,-0.017429912,511.82617,384.44363,-278.01004,-166.25887,-0.36306518,,,90.0
-0.003447977,0.0007520503,-0.029428361,-0.01674853,512.5979,384.9641,-278.0388,-166.21887,-0.2010022,,,90.0
-0.0048141447,0.0018588784,-0.030636169,-0.015134375,513.05914,385.38852,-277.99054,-166.21306,-0.104141235,,,90.0
-0.004469589,0.00096186006,-0.029725425,-0.016167883,512.5996,384.57642,-278.0201,-166.24916,-0.2006433,,,90.0
-0.00253258,0.0007161179,-0.030011289,-0.017011696,513.4123,384.89575,-278.01517,-166.23314,-0.029979857,,,90.0
-0.0041007255,0.0021384556,-0.030654091,-0.015140911,513.5783,385.1181,-278.0226,-166.17285,0.0048834225,,,90.0
-0.0033844227,0.0018778065,-0.030902239,-0.016145688,511.72284,384.01334,-278.02097,-166.2622,-0.384765,,,90.0
-0.003803031,0.00043056323,-0.031236004,-0.016542943,513.05115,385.4711,-278.02457,-166.19276,-0.105820306,,,90.0
-0.005642758,0.0020942546,-0.029641692,-0.014804014,512.24554,384.2481,-278.001,-166.21745,-0.27499694,,,90.0
-0.0035782345,0.0009873541,-0.029773824,-0.016841024,511.77805,384.51324,-278.00906,-166.2205,-0.3731717,,,90.0
-0.0039545903,0.0014409298,-0.030961087,-0.016915832,513.9853,385.74692,-278.03864,-166.17561,0.09034973,,,90.0
-0.003751982,0.002886097,-0.02954069,-0.014680784,513.5036,385.7041,-278.042,-166.23543,-0.010805054,,,90.0
-0.003776612,0.00048190908,-0.030047389,-0.017415287,511.89835,384.02557,-278.0179,-166.27545,-0.34790862,,,90.0
-0.003958781,0.0012938107,-0.029720223,-0.016428063,512.5446,384.5428,-277.98532,-166.21484,-0.21219176,,,90.0
-0.0025206702,0.002965206,-0.029567607,-0.014523222,513.81146,385.72266,-278.00174,-166.1471,0.053845823,,,90.0
-0.0030953414,0.0011974636,-0.029857125,-0.016959438,511.99634,384.65628,-278.0021,-166.24452,-0.32733032,,,90.0
-0.0037548386,0.0009395362,-0.028306978,-0.01697857,512.8633,384.87537,-278.01828,-166.20834,-0.14527221,,,90.0
-0.0048886165,0.001463477,-0.030201139,-0.015179267,514.5781,385.79327,-278.01434,-166.19289,0.21484496,,,90.0
-0.004357922,0.0013081251,-0.029219585,-0.01666334,512.19543,383.84937,-277.9947,-166.26157,-0.28552002,,,90.0
-0.003942725,0.0008776017,-0.029883768,-0.01656458,514.1017,385.9852,-278.02524,-166.172,0.11479247,,,90.0
-0.0052734544,0.0021972244,-0.030104294,-0.014251523,512.835,385.57416,-277.99713,-166.15292,-0.15120666,,,90.0
-0.0044641998,0.0017625337,-0.028950358,-0.015794398,512.0245,384.77264,-278.01468,-166.22998,-0.3214215,,,90.0
-0.0030373558,0.00045622652,-0.029435804,-0.015866702,512.53406,385.2187,-278.01447,-166.19351,-0.21440917,,,90.0
-0.0036654398,0.003278666,-0.029317638,-0.013549738,514.00995,386.0732,-278.0082,-166.19038,0.095527954,,,90.0
-0.0032185207,0.001223102,-0.028932948,-0.016614487,512.2881,384.4673,-277.96884,-166.21223,-0.2660632,,,90.0
-0.0039488496,-0.00018071737,-0.029807912,-0.017525526,511.9656,384.54736,-278.0469,-166.2986,-0.33378386,,,90.0
-0.0052517117,0.0032046465,-0.029313775,-0.013735303,513.0662,385.1987,-278.01077,-166.22533,-0.10265441,,,90.0
-0.0038363524,-8.10326e-05,-0.02958833,-0.015849698,512.5058,384.42093,-278.0011,-166.19423,-0.22034362,,,90.0
-0.0034688879,0.00034404246,-0.029635565,-0.017224088,512.7223,385.13565,-278.009,-166.21161,-0.17488037,,,90.0
-0.003721208,0.0026286996,-0.028928509,-0.015081066,514.0459,386.02115,-278.01862,-166.18233,0.10307739,,,90.0
-0.0041171266,0.0009858339,-0.030014645,-0.015541379,512.5973,384.5817,-278.0269,-166.214,-0.20113036,,,90.0
-0.0036729362,0.0017177528,-0.027793469,-0.016107572,511.72836,384.16882,-278.02002,-166.24713,-0.38360503,,,90.0
-0.003046943,0.0019659612,-0.029348485,-0.014700446,513.6032,385.05664,-278.03467,-166.21227,0.010112915,,,90.0
-0.0030235846,0.0014897318,-0.029537216,-0.015614226,513.07825,384.8213,-277.99393,-166.18956,-0.10012939,,,90.0
-0.0031369342,0.0013577078,-0.029115234,-0.017553011,513.0173,385.019,-277.9701,-166.20248,-0.112933956,,,90.0
-0.004177504,0.0017922097,-0.0297117,-0.014380756,513.02545,384.72763,-278.04468,-166.25363,-0.111216426,,,90.0
-0.0041302526,0.0006827565,-0.02853179,-0.016203985,513.09985,385.51202,-277.99442,-166.21208,-0.09559204,,,90.0
-0.003870494,-0.00019814534,-0.03023226,-0.018012434,512.5299,384.8572,-278.00195,-166.22649,-0.21528076,,,90.0
-0.004161962,0.0025669562,-0.03050372,-0.0148417,511.98514,384.0657,-278.03708,-166.28534,-0.3296823,,,90.0
-0.0037645602,0.0022610133,-0.029726332,-0.016355967,513.8379,385.22284,-278.0131,-166.18152,0.05939575,,,90.0
-0.0028535707,-0.0002110846,-0.02973433,-0.016612869,511.95676,384.41687,-278.01694,-166.24568,-0.3356424,,,90.0
-0.0036386712,0.0025497775,-0.02901916,-0.014601728,513.5901,385.26093,-278.03418,-166.17946,0.0073571773,,,90.0
-0.0036958614,0.00111714,-0.029689446,-0.016523387,513.60754,385.77386,-278.0021,-166.1927,0.011022949,,,90.0
-0.0044553946,0.00024545108,-0.03083705,-0.017772177,512.9691,384.7539,-278.00494,-166.21428,-0.12304687,,,90.0
-0.0046746726,0.001703985,-0.02918051,-0.016005753,512.2295,385.01212,-278.03363,-166.23112,-0.2783679,,,90.0
-0.0043341015,0.0007346192,-0.030206166,-0.016198723,513.7523,385.77615,-278.0166,-166.21538,0.04142578,,,90.0
-0.003688714,0.0016842535,-0.030379374,-0.01577538,511.2183,383.43356,-277.9854,-166.27591,-0.49071988,,,90.0
-0.0033307765,0.0019479375,-0.030537255,-0.015518802,512.8983,385.2396,-278.0192,-166.22823,-0.13791503,,,90.0
-0.002787237,0.0005856101,-0.030228391,-0.015878648,513.171,385.13254,-278.05017,-166.19661,-0.08064697,,,90.0
-0.0037587204,8.062579e-05,-0.029265856,-0.017525466,514.0785,385.87613,-278.0082,-166.21063,0.10992187,,,90.0
-0.005049477,0.0015947793,-0.031233938,-0.015009114,511.16052,384.16098,-278.02472,-166.30815,-0.50285155,,,90.0
-0.00382544,0.0011730975,-0.030445265,-0.016371083,513.8274,385.73438,-278.017,-166.17128,0.05719116,,,90.0
-0.0029663022,0.00024886406,-0.030568985,-0.017215101,512.22626,383.98444,-278.00928,-166.21564,-0.27904722,,,90.0
