Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
35.002502,-0.17647614,-0.116250455,-0.34754893,0.015954437,-0.45383468,-0.20179527,-0.32630813,-0.21815985,8.504589,8.406054,8.8959875,8.747697,2.0,978.5,2.0,970.5,2.0,758.5,2.0,765.0,71.73496932515337,61.059007832898175
35.005,-0.3303392,-0.25996855,-0.46083418,-0.10578346,-0.6127702,-0.31846228,-0.45988446,-0.3517346,8.495026,8.393007,8.895049,8.737896,4.0,6.0,4.0,8.0,4.0,10.0,4.0,8.5,71.73496932515337,61.059007832898175
35.007504,-0.31174117,-0.25489607,-0.43208998,-0.109165646,-0.6178427,-0.32015258,-0.46157637,-0.39569503,8.484633,8.37309,8.899505,8.73345,6.0,2.0,6.0,1.0,6.0,0.0,6.0,0.0,71.73496932515337,61.059007832898175
35.010002,-0.20014663,-0.15006591,-0.3103509,-0.009407959,-0.49948698,-0.2187046,-0.34490934,-0.3010098,8.465814,8.349607,8.906023,8.733674,8.0,0.0,8.0,2.0,8.0,0.0,8.0,0.0,71.73496932515337,61.059007832898175
35.0125,-0.04628357,0.010561523,-0.13281451,0.13600364,-0.3050409,-0.046240307,-0.17244506,-0.12854552,8.440252,8.32796,8.909199,8.737019,10.0,1.0,10.0,8.0,10.0,8.0,10.0,0.0,71.73496932515337,61.059007832898175
35.015003,0.04164047,0.10186615,-0.017838592,0.20025557,-0.17992081,0.051827084,-0.08282913,-0.023715362,8.40747,8.309027,8.907724,8.7364435,12.0,7.5,12.0,0.0,12.0,0.0,12.0,8.0,71.73496932515337,61.059007832898175
35.0175,0.01965866,0.10186615,-0.0060025402,0.17827377,-0.17315643,0.03660965,-0.09804656,-0.0389328,8.3761,8.287524,8.893513,8.734512,14.0,0.5,14.0,0.0,14.0,0.0,14.0,0.0,71.73496932515337,61.059007832898175
35.02,-0.100388944,0.035923917,-0.08208973,0.09373352,-0.26953354,-0.061457746,-0.18935119,-0.120090865,8.350794,8.265234,8.872421,8.730242,16.0,0.0,16.0,0.0,16.0,1.0,16.0,1.0,71.73496932515337,61.059007832898175
35.022503,-0.21536407,-0.043543853,-0.18015753,-0.029697875,-0.42678037,-0.1916503,-0.31616318,-0.22323234,8.333549,8.238653,8.8545065,8.719914,18.0,1.0,18.0,0.0,18.0,0.0,18.0,0.5,71.73496932515337,61.059007832898175
35.025,-0.27285323,-0.08919617,-0.22580983,-0.107475355,-0.53161055,-0.24913947,-0.3837973,-0.26381218,8.315854,8.20656,8.842172,8.699914,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.5,71.73496932515337,61.059007832898175
