Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
320.0025,-0.04736824,-0.041384123,-0.24176227,-0.18327574,-0.15682067,-0.06788567,-0.24345015,-0.1751319,8.384231,8.265141,8.918193,8.72047,2.0,832.0,2.0,826.0,2.0,630.0,2.0,595.0,87.9157894736842,73.30909090909091
320.005,0.025336761,0.021174315,-0.19103748,-0.13255095,-0.14329192,-0.07464843,-0.21470398,-0.16836913,8.385336,8.267037,8.918543,8.722557,4.0,0.0,4.0,1.5,4.0,0.0,4.0,0.0,87.9157894736842,73.30909090909091
320.0075,0.16567428,0.16151504,-0.06253481,0.0060962676,-0.013099365,0.030181732,-0.10480133,-0.06522926,8.385448,8.268198,8.917027,8.724098,6.0,0.0,6.0,0.5,6.0,0.0,6.0,0.0,87.9157894736842,73.30909090909091
320.01,0.2840332,0.29678008,0.077803515,0.1464354,0.17965484,0.20602821,0.043989256,0.06327461,8.385172,8.268436,8.91548,8.725142,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,87.9157894736842,73.30909090909091
320.0125,0.33306608,0.34412107,0.1555814,0.20223266,0.32337296,0.32607582,0.1302214,0.14612457,8.385264,8.267773,8.915449,8.725619,10.0,0.0,10.0,0.0,10.0,2.0,10.0,0.0,87.9157894736842,73.30909090909091
320.015,0.25359833,0.26296142,0.09978412,0.16672531,0.32675675,0.31593084,0.108242795,0.12245247,8.386717,8.2667265,8.91645,8.725317,12.0,1.0,12.0,11.0,12.0,10.0,12.0,6.0,87.9157894736842,73.30909090909091
320.01752,0.13185883,0.13108017,-0.01350111,0.075420685,0.22361526,0.20433791,0.01693817,0.009167633,8.388619,8.266912,8.917625,8.724839,14.0,10.0,14.0,2.0,14.0,3.0,14.0,6.0,87.9157894736842,73.30909090909091
320.02002,-0.015243072,-0.017713623,-0.15214834,-0.049701,0.05453476,0.047091063,-0.11663818,-0.126099,8.39004,8.269058,8.918543,8.724946,16.0,3.0,16.0,0.0,16.0,0.0,16.0,1.0,87.9157894736842,73.30909090909091
320.02252,-0.03722328,-0.039695434,-0.18765569,-0.09366142,-0.050298613,-0.035758894,-0.18765289,-0.19373153,8.391452,8.272084,8.918729,8.725804,18.0,0.0,18.0,1.0,18.0,0.0,18.0,0.0,87.9157894736842,73.30909090909091
320.02502,0.052389447,0.051609192,-0.13185883,-0.03786415,-0.06720474,-0.025613936,-0.17243545,-0.16329665,8.392956,8.273949,8.918028,8.72639,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,87.9157894736842,73.30909090909091
