acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
0.0070143216,0.007995288,-0.015912523,-0.009295963,511.6478,365.0043,-328.21786,-209.42787,-0.20431548,2.0,1419.0,139.35483870967744
0.0071009663,0.009331747,-0.016574118,-0.008898691,512.91583,365.78967,-328.23108,-209.43019,0.061972044,4.0,8.5,139.35483870967744
0.00742867,0.009602365,-0.015897797,-0.008506324,513.8421,366.23267,-328.2079,-209.44055,0.25648865,6.0,4.5,139.35483870967744
0.007872003,0.007780848,-0.014580665,-0.010309994,511.51917,364.65323,-328.19888,-209.45018,-0.23132811,8.0,6.0,139.35483870967744
0.0069208094,0.0094362125,-0.0150913205,-0.008745273,512.6427,365.6471,-328.19714,-209.42061,0.0046142577,10.0,2.0,139.35483870967744
0.0071109124,0.010848281,-0.016075563,-0.0073597957,513.0065,365.56186,-328.2173,-209.44795,0.08100586,12.0,0.5,139.35483870967744
0.00770943,0.008850911,-0.015775127,-0.009253401,512.1157,365.09937,-328.21237,-209.42816,-0.10605102,14.0,0.0,139.35483870967744
0.0070042815,0.008168267,-0.015828809,-0.008985817,512.57983,365.6824,-328.22366,-209.43886,-0.008587646,16.0,0.0,139.35483870967744
0.007235788,0.009200307,-0.016216263,-0.009051002,512.41907,365.39703,-328.20895,-209.48715,-0.04234863,18.0,0.5,139.35483870967744
0.0072749285,0.008219674,-0.015501808,-0.009903355,512.4829,365.4793,-328.22208,-209.429,-0.02894165,20.0,0.0,139.35483870967744
0.007321104,0.0092188995,-0.015575112,-0.008972081,512.56976,365.21335,-328.21585,-209.42766,-0.010702514,22.0,0.5,139.35483870967744
0.0072013587,0.009502941,-0.015442508,-0.008401104,513.1237,365.9269,-328.21716,-209.45834,0.10562805,24.0,0.0,139.35483870967744
0.007461277,0.008051204,-0.015073152,-0.010227314,513.0626,365.68152,-328.22476,-209.42928,0.092797846,26.0,0.0,139.35483870967744
0.0072924476,0.0094822785,-0.016028466,-0.008852667,512.3441,365.35046,-328.21555,-209.44475,-0.058088377,28.0,0.0,139.35483870967744
0.0077776155,0.010535019,-0.016566968,-0.007669103,513.778,366.25055,-328.2492,-209.43277,0.24303038,30.0,0.0,139.35483870967744
0.008187506,0.009191551,-0.015724555,-0.009114917,513.5853,365.96173,-328.22464,-209.41321,0.20256591,,,139.35483870967744
0.0069675995,0.008797318,-0.014531711,-0.0087897545,512.4192,365.1816,-328.21747,-209.42941,-0.042322997,,,139.35483870967744
0.0074539324,0.008925225,-0.01539002,-0.008941155,514.6402,367.29095,-328.23615,-209.447,0.42408875,,,139.35483870967744
0.007438376,0.00796772,-0.016227076,-0.010179879,513.4906,366.02173,-328.25555,-209.37752,0.18267334,,,139.35483870967744
0.0068588057,0.009499404,-0.016267773,-0.008521801,512.76807,365.71158,-328.23676,-209.43103,0.03094116,,,139.35483870967744
0.0070947977,0.009635498,-0.0155417975,-0.008159489,511.92856,365.13284,-328.24057,-209.51053,-0.14535552,,,139.35483870967744
0.007857218,0.007503728,-0.015469192,-0.010734354,514.36554,366.3433,-328.21582,-209.40486,0.36641052,,,139.35483870967744
0.0077799107,0.008849978,-0.015694292,-0.009689858,512.5299,365.26764,-328.2126,-209.45052,-0.019072264,,,139.35483870967744
0.0072600837,0.010671681,-0.01589389,-0.0073090903,510.71426,363.96735,-328.20978,-209.48969,-0.40035734,,,139.35483870967744
0.006879407,0.009293663,-0.016209343,-0.0082768975,513.8833,366.35287,-328.23364,-209.41884,0.26514038,,,139.35483870967744
0.00604576,0.0088288225,-0.015354116,-0.008609552,512.77704,365.8783,-328.20737,-209.44023,0.032825317,,,139.35483870967744
0.007880176,0.008821578,-0.015425005,-0.008870375,512.19653,365.41724,-328.248,-209.44456,-0.08908081,,,139.35483870967744
0.008694923,0.00813389,-0.0155595355,-0.010104437,513.79254,366.26257,-328.22687,-209.45145,0.24608092,,,139.35483870967744
0.0067373496,0.009658348,-0.015627982,-0.008098075,512.58636,365.62714,-328.1918,-209.41092,-0.0072161863,,,139.35483870967744
0.0060695726,0.009895188,-0.016013995,-0.008403437,512.42004,365.5109,-328.23196,-209.48538,-0.042143553,,,139.35483870967744
0.007221867,0.0067190016,-0.015182453,-0.0115168085,513.5326,366.21826,-328.22476,-209.45813,0.1914917,,,139.35483870967744
0.007596099,0.008271542,-0.01538451,-0.009362178,512.7438,365.80215,-328.22495,-209.45583,0.025839843,,,139.35483870967744
0.006667628,0.010585646,-0.015299382,-0.006852834,510.29672,363.75497,-328.21387,-209.49141,-0.48804107,,,139.35483870967744
0.007172572,0.008723262,-0.0154438475,-0.008224648,512.12366,365.20975,-328.22635,-209.48433,-0.104384765,,,139.35483870967744
0.007005973,0.009139651,-0.015743392,-0.009331756,512.1913,365.35074,-328.2145,-209.4744,-0.0901831,,,139.35483870967744
0.007802151,0.009679295,-0.015554264,-0.008417622,511.31503,364.644,-328.22812,-209.48178,-0.27419585,,,139.35483870967744
0.0077436646,0.008437187,-0.015519553,-0.009238009,514.1458,366.45245,-328.22665,-209.44781,0.32026795,,,139.35483870967744
0.0062075197,0.008914165,-0.015191167,-0.008280537,512.79376,365.80212,-328.23572,-209.44301,0.03633728,,,139.35483870967744
0.0075519676,0.0096963495,-0.015019674,-0.008333407,513.8181,366.2288,-328.25378,-209.40451,0.2514514,,,139.35483870967744
0.008375362,0.008038978,-0.015133886,-0.01100618,512.9784,365.87704,-328.22693,-209.47836,0.07510986,,,139.35483870967744
