Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
235.00252,0.04952316,-0.13031432,-0.056750964,-0.009813309,-0.14625274,-0.100478664,-0.029544067,-0.07833343,8.382594,8.260405,8.92799,8.738189,2.0,958.0,2.0,946.0,2.0,659.5,2.0,605.5,77.952,75.19485530546623
235.005,-0.06207138,-0.27234375,-0.16834511,-0.12478843,-0.26630354,-0.23405342,-0.043072812,-0.088478394,8.374228,8.25656,8.93126,8.733469,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,77.952,75.19485530546623
235.0075,-0.06883575,-0.29094496,-0.17510827,-0.12647873,-0.2561586,-0.25603524,-0.05829025,-0.11553108,8.371752,8.264902,8.925093,8.728213,6.0,1.0,6.0,0.0,6.0,1.0,6.0,1.0,77.952,75.19485530546623
235.01001,0.007251434,-0.2097853,-0.08718584,-0.043628767,-0.1580896,-0.1884011,-0.070123896,-0.135821,8.376222,8.272696,8.921308,8.726243,8.0,7.0,8.0,11.0,8.0,12.0,8.0,10.0,77.952,75.19485530546623
235.01251,0.14590026,-0.0643721,0.056534268,0.10347313,-0.019443968,-0.051444165,-0.070123896,-0.13751128,8.381622,8.27397,8.925196,8.72795,10.0,6.0,10.0,3.0,10.0,1.0,10.0,3.0,77.952,75.19485530546623
235.01501,0.26932845,0.055675507,0.18503694,0.23366569,0.09722305,0.071985625,-0.04138092,-0.11214889,8.391841,8.2694,8.934498,8.736375,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,77.952,75.19485530546623
235.01752,0.27609283,0.0810379,0.21209003,0.25902808,0.09553436,0.1007286,0.024561308,-0.046206664,8.397733,8.259369,8.946834,8.746078,14.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0,77.952,75.19485530546623
235.02,0.17802383,0.013403778,0.12923966,0.16941535,-0.0076071164,0.03140579,0.09557602,0.019733962,8.398786,8.246156,8.954672,8.752709,16.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,77.952,75.19485530546623
235.0225,0.04445068,-0.103263244,-0.022934303,-0.0030489347,-0.1783795,-0.12753135,0.1260109,0.038333587,8.392741,8.238239,8.952104,8.753577,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,77.952,75.19485530546623
235.02501,-0.08067261,-0.21993026,-0.15312767,-0.14846054,-0.31195587,-0.27125105,0.112482145,0.011280899,8.373195,8.237845,8.948607,8.745795,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,77.952,75.19485530546623
235.02751,-0.08743378,-0.2334558,-0.16158193,-0.16536826,-0.28997406,-0.29492316,0.056688078,-0.04451637,8.356133,8.234715,8.943378,8.727219,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,77.952,75.19485530546623
235.03001,0.007251434,-0.17089416,-0.08042227,-0.08251831,-0.16992645,-0.21883598,-0.0024929808,-0.08171402,8.344708,8.232488,8.924432,8.704867,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,77.952,75.19485530546623
235.03252,0.15266143,-0.04915466,0.053152483,0.07303825,0.004229736,-0.07342598,-0.039689023,-0.07664154,8.345577,8.235493,8.904455,8.68906,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,77.952,75.19485530546623
235.035,0.26594788,0.060747985,0.17320089,0.17617813,0.12596923,0.061840665,-0.032927856,-0.041134186,8.35687,8.238208,8.892687,8.678421,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,77.952,75.19485530546623
235.0375,0.26087537,0.0573674,0.18334584,0.15419792,0.1107518,0.08551117,0.012724456,0.021425856,8.373706,8.240342,8.888087,8.674998,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,77.952,75.19485530546623
235.04001,0.16449828,-0.027176054,0.083587356,0.05443863,0.00084594724,0.007733688,0.05330429,0.06538627,8.395513,8.244208,8.88819,8.681892,,,,,,,,,77.952,75.19485530546623
235.04251,0.02754135,-0.14384307,-0.058441658,-0.08082642,-0.16654266,-0.14274879,0.056688078,0.055241317,8.399073,8.246726,8.89244,8.693205,,,,,,,,,77.952,75.19485530546623
235.04501,-0.09250625,-0.2537457,-0.15989083,-0.17889541,-0.29673842,-0.2577255,0.026253203,0.01804367,8.381868,8.238757,8.894471,8.703863,,,,,,,,,77.952,75.19485530546623
235.04752,-0.08574508,-0.26727125,-0.11931141,-0.17044075,-0.30857208,-0.2661802,-0.026163481,-0.04282608,8.355908,8.22486,8.898813,8.710777,,,,,,,,,77.952,75.19485530546623
235.05002,0.0055595394,-0.20302093,0.0007369995,-0.07913612,-0.23248489,-0.19685577,-0.05997894,-0.073260956,8.339962,8.218674,8.906435,8.709753,,,,,,,,,77.952,75.19485530546623
235.0525,0.14590026,-0.05761093,0.13600284,0.07134636,-0.07185745,-0.039608914,-0.06336273,-0.07495125,8.344718,8.221638,8.912809,8.699612,,,,,,,,,77.952,75.19485530546623
235.05501,0.27609283,0.09118286,0.22054389,0.17448783,0.083697505,0.09565613,-0.049833983,-0.04958885,8.354077,8.22428,8.914644,8.687939,,,,,,,,,77.952,75.19485530546623
