acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
-0.036684435,-0.018969553,-0.061401963,-0.035992045,543.4588,423.4365,-236.48067,-129.8008,0.0017944336,2.0,1328.5,130.90909090909093
-0.03667419,-0.019706631,-0.06102837,-0.03769799,544.7454,423.1664,-236.54073,-129.78653,0.27198485,4.0,7.0,130.90909090909093
-0.036852017,-0.019350305,-0.061636947,-0.037927203,544.2557,423.12946,-236.53787,-129.79073,0.16913818,6.0,6.0,130.90909090909093
-0.0366626,-0.018486606,-0.061676286,-0.037281126,543.6622,423.87057,-236.54921,-129.76045,0.044501953,8.0,3.5,130.90909090909093
-0.036027692,-0.020473273,-0.060849525,-0.037945252,544.25446,424.67502,-236.52078,-129.73184,0.16888183,10.0,0.0,130.90909090909093
-0.03712276,-0.020024443,-0.060939077,-0.038181398,543.99536,423.5535,-236.54536,-129.76495,0.11447204,12.0,0.0,130.90909090909093
-0.037231233,-0.018491112,-0.061469853,-0.03796705,542.6795,422.7913,-236.50839,-129.7771,-0.1618579,14.0,0.0,130.90909090909093
-0.03616442,-0.020123636,-0.06194576,-0.038823467,543.82416,423.5203,-236.52066,-129.7806,0.078519285,16.0,0.0,130.90909090909093
-0.03642421,-0.019999139,-0.060762852,-0.038400754,544.6711,423.7779,-236.52925,-129.75874,0.2563733,18.0,0.5,130.90909090909093
-0.036538336,-0.018183386,-0.060579587,-0.0362259,543.24493,422.93604,-236.52946,-129.78433,-0.043117676,20.0,0.5,130.90909090909093
-0.03574652,-0.019773366,-0.061182365,-0.037399255,543.3467,423.56686,-236.5473,-129.77515,-0.021751098,22.0,0.0,130.90909090909093
-0.03634003,-0.020355932,-0.060617063,-0.03839582,544.0445,423.58362,-236.52759,-129.76099,0.124790035,24.0,0.0,130.90909090909093
-0.036914226,-0.018700361,-0.061566245,-0.036774207,544.6468,423.3382,-236.54541,-129.74509,0.25127196,26.0,0.0,130.90909090909093
