acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
-0.019642714,-0.00629825,-0.045188297,-0.028909199,514.4337,392.08484,-281.25555,-174.65338,-0.26369202,2.0,1342.5,135.0
-0.020351915,-0.0076986095,-0.04515227,-0.030218279,517.0141,393.3619,-281.3167,-174.6126,0.27818847,4.0,8.0,135.0
-0.02105769,-0.0080171125,-0.045668606,-0.029975751,515.9123,393.07095,-281.2121,-174.67856,0.04680908,6.0,3.5,135.0
-0.020507157,-0.0063085686,-0.04614062,-0.028129183,514.6658,392.16574,-281.23804,-174.66884,-0.21496032,8.0,6.0,135.0
-0.019374562,-0.007658852,-0.045253836,-0.029129911,517.01733,393.32327,-281.28012,-174.60745,0.27886778,10.0,2.0,135.0
-0.019773768,-0.009244993,-0.04479289,-0.030606505,517.3539,393.9262,-281.24612,-174.58862,0.34954283,12.0,0.5,135.0
-0.020321393,-0.007480668,-0.04484889,-0.02881206,516.6587,393.2829,-281.24963,-174.60527,0.20355286,14.0,0.0,135.0
-0.020587567,-0.0074548554,-0.046163157,-0.02819607,516.9376,393.28607,-281.27164,-174.58772,0.2621283,16.0,0.0,135.0
-0.020401455,-0.007890513,-0.045624837,-0.02936001,516.47076,393.17328,-281.19293,-174.6315,0.16408813,18.0,0.5,135.0
-0.020213813,-0.0067422315,-0.044195406,-0.028313765,516.6461,393.39172,-281.27426,-174.58913,0.20091248,20.0,0.0,135.0
-0.020060385,-0.0083214175,-0.043488596,-0.030107485,514.99426,391.85315,-281.31393,-174.69296,-0.14597717,22.0,0.5,135.0
-0.020222234,-0.0084221335,-0.045156635,-0.030643199,516.83307,393.86203,-281.22818,-174.55077,0.24017212,24.0,0.0,135.0
-0.020892741,-0.0059385737,-0.04719245,-0.028305894,517.2483,393.97342,-281.27048,-174.54097,0.32736877,26.0,0.0,135.0
-0.02009445,-0.0072973534,-0.046649735,-0.029071486,515.72736,392.5416,-281.3159,-174.70438,0.007972412,28.0,0.0,135.0
-0.019565813,-0.008960372,-0.04546212,-0.030329358,516.3501,393.08737,-281.2293,-174.59273,0.13874817,30.0,0.0,135.0
-0.019261448,-0.0071990304,-0.045219354,-0.029191842,517.47125,393.57947,-281.2435,-174.55423,0.37419066,,,135.0
-0.019055238,-0.0074900943,-0.045627177,-0.028812308,516.63995,393.81012,-281.27866,-174.65054,0.1996179,,,135.0
-0.018994689,-0.00810968,-0.04545913,-0.029132279,516.0198,392.62,-281.2268,-174.65135,0.06938049,,,135.0
-0.019727262,-0.0064040343,-0.045799647,-0.028348442,516.9259,393.35834,-281.27133,-174.63876,0.25966734,,,135.0
-0.019689577,-0.008440941,-0.045156598,-0.030594094,516.282,393.4752,-281.32162,-174.62976,0.12444396,,,135.0
-0.019276677,-0.009038823,-0.045037515,-0.031202216,514.30994,391.51456,-281.16714,-174.69804,-0.28968567,,,135.0
-0.020226575,-0.005863996,-0.045993987,-0.02766223,516.93756,393.46585,-281.27655,-174.63246,0.26211548,,,135.0
-0.020050371,-0.006818428,-0.04613126,-0.02837858,515.4901,392.8353,-281.27884,-174.66676,-0.041848753,,,135.0
-0.020240493,-0.008770155,-0.04558292,-0.030207528,515.72736,393.05157,-281.24503,-174.68248,0.007972412,,,135.0
-0.019833138,-0.00781293,-0.04505493,-0.029624693,516.3448,392.95236,-281.2669,-174.60454,0.13763306,,,135.0
-0.019474348,-0.0075188535,-0.045396555,-0.02883309,515.63574,392.62747,-281.27182,-174.66412,-0.011266479,,,135.0
-0.019620167,-0.007991311,-0.0455975,-0.029098824,517.00256,393.44574,-281.21124,-174.61911,0.275766,,,135.0
-0.020413797,-0.0066174786,-0.045640215,-0.028439455,516.66254,393.69324,-281.3213,-174.66148,0.20436035,,,135.0
-0.021141762,-0.008374331,-0.044966344,-0.0299428,515.75244,392.47598,-281.25955,-174.66615,0.013240356,,,135.0
-0.020562991,-0.008907084,-0.045118947,-0.031040736,516.00385,392.8888,-281.23178,-174.65283,0.06603515,,,135.0
-0.020310478,-0.0058513414,-0.046200585,-0.028106011,515.03296,392.20648,-281.26047,-174.67102,-0.13785096,,,135.0
-0.020033421,-0.0065133367,-0.045497578,-0.028345466,516.16864,393.58527,-281.31323,-174.64253,0.100642085,,,135.0
-0.020120282,-0.008872092,-0.044911917,-0.030544175,515.4282,392.553,-281.17587,-174.63654,-0.05484558,,,135.0
-0.01982415,-0.0084206145,-0.045410305,-0.030109357,515.43176,392.42343,-281.24762,-174.66125,-0.05410217,,,135.0
-0.019062368,-0.007957512,-0.04608968,-0.029238136,516.70825,393.47653,-281.22827,-174.60846,0.21396056,,,135.0
-0.019688215,-0.0071524605,-0.045916904,-0.028477639,516.13116,392.91644,-281.22427,-174.63959,0.092772216,,,135.0
-0.020858176,-0.0065033706,-0.0452631,-0.027750196,514.9677,392.70273,-281.24106,-174.65718,-0.15155274,,,135.0
-0.020099318,-0.008423867,-0.0441651,-0.029888226,516.50726,393.0798,-281.26407,-174.61534,0.17175293,,,135.0
-0.018847866,-0.0094466135,-0.04466135,-0.03080088,516.5114,393.6805,-281.20538,-174.61061,0.17262451,,,135.0
-0.019475404,-0.0062732873,-0.046163004,-0.02812332,514.8981,392.20813,-281.2457,-174.64516,-0.16617736,,,135.0
-0.019607231,-0.00671855,-0.046322346,-0.027909195,516.2842,392.54102,-281.2905,-174.65369,0.12490539,,,135.0
-0.019348267,-0.008658674,-0.04568876,-0.030444002,516.7645,393.29324,-281.24393,-174.6054,0.22577819,,,135.0
-0.0194604,-0.0074727563,-0.04554017,-0.029771794,516.4495,392.8242,-281.25677,-174.62193,0.15962768,,,135.0
-0.019242516,-0.0072680963,-0.04561022,-0.02915336,517.7761,394.08856,-281.27097,-174.57709,0.4382135,,,135.0
-0.019892557,-0.007849014,-0.04557468,-0.02843635,514.6604,392.45773,-281.18863,-174.71608,-0.21608825,,,135.0
-0.020277863,-0.006705059,-0.045472097,-0.028158067,516.81885,393.5815,-281.27063,-174.58838,0.23718566,,,135.0
-0.019607827,-0.00802598,-0.044930965,-0.029925793,515.8746,392.73087,-281.2738,-174.70335,0.038887937,,,135.0
-0.019640673,-0.00942348,-0.045039322,-0.030864993,516.58655,393.27744,-281.27975,-174.64139,0.1884027,,,135.0
-0.02140005,-0.006658509,-0.04594108,-0.028043097,517.002,393.6923,-281.30692,-174.57741,0.27565062,,,135.0
-0.020957276,-0.0066569783,-0.045281403,-0.02804348,516.3943,392.5776,-281.26428,-174.6169,0.14802796,,,135.0
-0.01980156,-0.007974219,-0.044491965,-0.029594362,515.6043,393.31882,-281.19543,-174.69539,-0.017867431,,,135.0
-0.020169374,-0.0072303102,-0.044683605,-0.029352304,517.4836,393.6832,-281.27368,-174.54301,0.37677976,,,135.0
-0.019430848,-0.0078008287,-0.04556269,-0.029525593,515.26685,392.22675,-281.28705,-174.69086,-0.08873474,,,135.0
-0.020153264,-0.008246061,-0.045848433,-0.02885997,517.28143,394.16336,-281.22488,-174.53868,0.3343286,,,135.0
-0.020779343,-0.006594789,-0.045531828,-0.027619919,517.7934,393.98715,-281.2818,-174.58916,0.4418408,,,135.0
-0.020090545,-0.0077503696,-0.045116648,-0.029424513,515.79333,392.9917,-281.30997,-174.69467,0.021828001,,,135.0
-0.019926406,-0.009092934,-0.04472185,-0.03086607,515.5326,392.27493,-281.1726,-174.68433,-0.032927856,,,135.0
-0.019604325,-0.0070801885,-0.04528304,-0.028206132,516.36365,393.31506,-281.2729,-174.67828,0.14159362,,,135.0
-0.01979672,-0.00655009,-0.0456039,-0.02813761,517.2724,393.6406,-281.27164,-174.58846,0.33243164,,,135.0
