acc_1,acc_2,acc_3,acc_4,strain_1,strain_2,WIM_1,WIM_2,offset_stress_1,Range,Cycles,velocity
0.029817484,0.029364984,0.007585398,0.0042789117,447.0649,332.37534,-371.9482,-252.3169,0.2146527,2.0,1234.0,135.0
0.030280588,0.027201492,0.0073270057,0.0023895244,446.74054,331.77744,-371.93643,-252.36552,0.14653473,4.0,7.5,135.0
0.030446997,0.02734804,0.0067381635,0.0023325537,447.255,332.32654,-371.91913,-252.2955,0.25457245,6.0,4.0,135.0
0.02891953,0.030209292,0.005976744,0.0048846747,446.28897,331.43005,-371.92236,-252.33957,0.05170532,8.0,5.0,135.0
0.029256757,0.0280916,0.0064485185,0.0030489773,447.36343,332.04855,-371.88303,-252.31865,0.27734253,10.0,2.0,135.0
0.030445553,0.026419023,0.008070283,0.0014222104,446.8633,331.92004,-371.94797,-252.3468,0.1723169,12.0,0.0,135.0
0.030112745,0.028828047,0.007256546,0.0038228498,446.98596,332.17624,-371.9053,-252.33662,0.19807342,14.0,0.0,135.0
0.029715441,0.028740685,0.0065052835,0.0030374138,447.21152,332.52438,-371.92996,-252.32027,0.24544005,16.0,0.5,135.0
0.0293384,0.028182393,0.0066016754,0.003103431,445.84415,331.56152,-371.93207,-252.39098,-0.04170776,18.0,0.0,135.0
0.029627489,0.029071784,0.007149434,0.0045366716,447.0709,332.20682,-371.94217,-252.37523,0.21590881,20.0,0.0,135.0
0.03054747,0.027205762,0.00766478,0.001768052,446.70642,332.24298,-371.9055,-252.3529,0.1393698,22.0,0.5,135.0
0.030694894,0.027151076,0.0068341014,0.0019226017,446.92294,332.01505,-371.93552,-252.34055,0.18483947,24.0,0.0,135.0
0.028720336,0.03028358,0.0061639543,0.0048697833,446.9122,332.46985,-371.9354,-252.31186,0.18258362,26.0,0.0,135.0
0.028322956,0.028389104,0.006210023,0.003714963,447.1782,332.66458,-371.92505,-252.32184,0.23844177,28.0,0.0,135.0
0.030113934,0.026771978,0.006609877,0.0019506643,446.62662,331.90497,-371.91458,-252.35167,0.12261108,30.0,0.0,135.0
0.03045683,0.028070545,0.0071814377,0.0036778466,447.05966,332.3844,-371.9572,-252.38661,0.2135504,,,135.0
0.02950393,0.027947165,0.00791298,0.0033130506,446.0437,331.48727,-371.8635,-252.3803,0.00019866943,,,135.0
0.029517418,0.02814248,0.007724002,0.0028757812,446.11633,331.67554,-371.8948,-252.3287,0.015451355,,,135.0
0.030121539,0.029271062,0.007098912,0.0037948182,447.06543,332.03116,-371.92303,-252.28549,0.21476164,,,135.0
0.030424008,0.027213743,0.0075333235,0.001964089,446.78445,331.8877,-371.93365,-252.35709,0.15575683,,,135.0
0.029907072,0.027104067,0.007816771,0.0027034362,446.3672,331.818,-371.90518,-252.35048,0.0681308,,,135.0
0.029077346,0.029858015,0.006614516,0.0053649484,446.89355,332.1253,-371.9224,-252.2942,0.1786679,,,135.0
0.029007988,0.028658263,0.006222085,0.0032516408,446.53412,331.95676,-371.92798,-252.36687,0.10318634,,,135.0
0.030238474,0.026521962,0.006697765,0.0015825855,446.81638,332.12967,-371.89307,-252.33194,0.16246033,,,135.0
0.029908424,0.028130075,0.0071810368,0.003890124,447.83557,332.69632,-371.9585,-252.2795,0.37649137,,,135.0
0.029380415,0.02772392,0.0069445274,0.003059922,446.10938,331.3632,-371.8763,-252.38707,0.013990173,,,135.0
0.029687332,0.028220205,0.0063812756,0.0024119054,446.33472,331.67868,-371.90018,-252.32555,0.06131195,,,135.0
0.02979425,0.029822838,0.0065779197,0.0038197665,447.3631,332.41583,-371.9021,-252.3021,0.27727202,,,135.0
0.030275712,0.02693756,0.00787044,0.0024023505,446.45584,332.00122,-371.91895,-252.39507,0.08674804,,,135.0
0.030003475,0.026810957,0.00825254,0.0027587707,446.60458,331.73926,-371.93045,-252.32295,0.117984004,,,135.0
0.029323298,0.02970215,0.0061615575,0.0046767243,446.60748,331.6899,-371.8932,-252.31448,0.11859283,,,135.0
