Time,SG5,SG7,SG13,SG16,SG33,SG35,SG42,SG43,A1,A2,A4,A5,SG13Range,SG13Cycles,SG16Range,SG16Cycles,SG42Range,SG42Cycles,SG43Range,SG43Cycles,velocity_16,velocity_5+7
60.002502,-0.14757614,-0.19058166,-0.208379,-0.16046882,-0.119204864,-0.19062492,-0.031046905,-0.065894164,8.408902,8.282809,8.934457,8.762685,2.0,909.0,2.0,925.0,2.0,530.5,2.0,583.0,82.634628975265,69.6
60.005,-0.07656303,-0.16521926,-0.15258172,-0.08776382,-0.13780288,-0.21429703,-0.08853607,-0.09632904,8.4228945,8.303079,8.9379425,8.750388,4.0,0.0,4.0,2.0,4.0,0.0,4.0,1.0,82.634628975265,69.6
60.007504,0.07053886,-0.04517166,-0.012243404,0.07793769,-0.09722305,-0.18217185,-0.13756897,-0.11323677,8.440313,8.320426,8.919946,8.736483,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,82.634628975265,69.6
60.010002,0.22609542,0.13067321,0.15345691,0.2723822,-0.004229736,-0.09593971,-0.16800384,-0.121691436,8.448578,8.329545,8.915511,8.7303,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,82.634628975265,69.6
60.012505,0.2785105,0.21859725,0.21601756,0.35523215,0.1073648,0.012274246,-0.16631195,-0.11661895,8.450573,8.336229,8.918461,8.73072,10.0,0.0,10.0,2.0,10.0,6.0,10.0,1.0,82.634628975265,69.6
60.015003,0.19227836,0.1830899,0.14331195,0.2960527,0.15301712,0.08328735,-0.127424,-0.101401515,8.4588375,8.343866,8.921813,8.736121,12.0,4.0,12.0,8.5,12.0,7.5,12.0,8.0,82.634628975265,69.6
60.0175,0.038413696,0.06980346,-0.0020984458,0.15740547,0.12258224,0.108649746,-0.068246156,-0.084492184,8.4654045,8.35169,8.932539,8.7429285,14.0,7.0,14.0,2.5,14.0,1.5,14.0,3.0,82.634628975265,69.6
60.020004,-0.13743278,-0.080679014,-0.17118095,-0.008294448,0.024516448,0.069761805,-0.012448883,-0.0574395,8.466212,8.35738,8.939675,8.75619,16.0,3.0,16.0,0.0,16.0,0.0,16.0,1.0,82.634628975265,69.6
60.022503,-0.22028273,-0.1821286,-0.26755765,-0.0928363,-0.08031692,-0.009707565,0.02305847,-0.033768997,8.46881,8.363453,8.947122,8.770184,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,82.634628975265,69.6
60.025,-0.14419556,-0.16691115,-0.21345147,-0.04887428,-0.12427734,-0.05366798,0.019677887,-0.025314331,8.47955,8.367867,8.949741,8.78175,20.0,0.0,20.0,1.0,20.0,0.0,20.0,0.0,82.634628975265,69.6
60.027504,-0.008928909,-0.07391464,-0.07818563,0.07962799,-0.103987426,-0.05705017,0.0027685545,-0.016859664,8.482025,8.369887,8.947112,8.783934,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,82.634628975265,69.6
60.030003,0.13648109,0.06980346,0.09089647,0.23856513,-0.029592132,-0.028305586,0.0010766601,-0.023624038,8.475438,8.368157,8.955971,8.770213,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,82.634628975265,69.6
60.0325,0.17875122,0.13912947,0.16360188,0.31296203,0.061712492,0.019037018,0.017985992,-0.01347908,8.469485,8.362996,8.958188,8.7607155,26.0,0.0,26.0,0.0,26.0,0.0,26.0,1.0,82.634628975265,69.6
60.035004,0.089138485,0.08164032,0.09427825,0.25209227,0.1090567,0.030872269,0.05518524,0.015265502,8.469362,8.360685,8.947906,8.758999,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,82.634628975265,69.6
60.037502,-0.06472618,-0.060389098,-0.042678278,0.11175316,0.06509628,-0.014780045,0.06871078,0.010193023,8.470764,8.355069,8.941759,8.764518,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,82.634628975265,69.6
60.040005,-0.232118,-0.2057991,-0.1830166,-0.055638656,-0.053262632,-0.09763,0.058565825,-0.021932144,8.468308,8.34452,8.942842,8.762666,,,,,,,,,82.634628975265,69.6
60.042503,-0.3318773,-0.26328826,-0.24219525,-0.1401789,-0.16147658,-0.16695441,0.045040283,-0.054058913,8.461078,8.330333,8.938809,8.754542,,,,,,,,,82.634628975265,69.6
60.045002,-0.27100754,-0.18889298,-0.17963481,-0.10467155,-0.19529204,-0.18724433,0.017985992,-0.0794197,8.445827,8.316582,8.927897,8.75385,,,,,,,,,82.634628975265,69.6
60.047504,-0.1340506,-0.0586972,-0.06634998,0.005231094,-0.16147658,-0.16357224,-0.022593841,-0.10816429,8.428254,8.3050165,8.9219055,8.755664,,,,,,,,,82.634628975265,69.6
60.050003,0.041795883,0.11545578,0.08075151,0.15740547,-0.066788174,-0.09932029,-0.054717407,-0.13859916,8.414517,8.291006,8.91251,8.748711,,,,,,,,,82.634628975265,69.6
60.0525,0.13140862,0.181398,0.16867435,0.2504004,0.046495054,-0.028305586,-0.07162674,-0.13859916,8.395769,8.280301,8.896287,8.727881,,,,,,,,,82.634628975265,69.6
60.055004,0.0857563,0.11545578,0.13993056,0.24025543,0.112437285,0.008892059,-0.059789885,-0.09463714,8.377173,8.268892,8.894915,8.715419,,,,,,,,,82.634628975265,69.6
60.057503,-0.035983197,-0.019809265,0.0350996,0.14049774,0.085386194,-0.014780045,-0.05133682,-0.050676726,8.370647,8.257897,8.899824,8.708739,,,,,,,,,82.634628975265,69.6
60.06,-0.16617577,-0.15169372,-0.09171238,0.005231094,0.0025346375,-0.089175336,-0.059789885,-0.010096893,8.362404,8.248011,8.905445,8.707851,,,,,,,,,82.634628975265,69.6
60.062504,-0.2524079,-0.21256347,-0.16441777,-0.074236676,-0.07862503,-0.1720269,-0.105442196,0.0017383575,8.352492,8.23942,8.901598,8.708398,,,,,,,,,82.634628975265,69.6
60.065002,-0.18139319,-0.14492935,-0.12721933,-0.03703903,-0.11413238,-0.19231682,-0.16293137,-0.037149582,8.342447,8.231648,8.890026,8.699065,,,,,,,,,82.634628975265,69.6
60.0675,-0.025838241,-0.0045918273,-0.005480232,0.071173325,-0.09722305,-0.16019005,-0.20689178,-0.065894164,8.331851,8.220829,8.882838,8.682254,,,,,,,,,82.634628975265,69.6
